# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.198713065882533E-001 4.979298182256373E+001 
2.235007500000000E+009 -3.273640852027186E-001 4.978215802608650E+001 
2.235015000000000E+009 -3.296146322533519E-001 4.976515434482334E+001 
2.235022500000000E+009 -3.310860507411405E-001 4.975937659899731E+001 
2.235030000000000E+009 -3.306783217430153E-001 4.973915006967528E+001 
2.235037500000000E+009 -3.289402029884261E-001 4.973504233810865E+001 
2.235045000000000E+009 -3.302933345786878E-001 4.972439781581066E+001 
2.235052500000000E+009 -3.299314612112487E-001 4.970980177033561E+001 
2.235060000000000E+009 -3.288414864411351E-001 4.970440554898686E+001 
2.235067500000000E+009 -3.295760311409715E-001 4.968496858464139E+001 
2.235075000000000E+009 -3.287791356864096E-001 4.969533844480384E+001 
2.235082500000000E+009 -3.289853870140925E-001 4.967666786618860E+001 
2.235090000000000E+009 -3.293778187735388E-001 4.967966054940565E+001 
2.235097500000000E+009 -3.323990939079061E-001 4.965683649498202E+001 
2.235105000000000E+009 -3.302968599472280E-001 4.965614915973141E+001 
2.235112500000000E+009 -3.318178044126320E-001 4.962939909236854E+001 
2.235120000000000E+009 -3.312998425048572E-001 4.963325051043536E+001 
2.235127500000000E+009 -3.304015240725524E-001 4.962641485637620E+001 
2.235135000000000E+009 -3.302682124417924E-001 4.960275502343934E+001 
2.235142500000000E+009 -3.294714182548419E-001 4.959261861917557E+001 
2.235150000000000E+009 -3.317869729935620E-001 4.958332877274468E+001 
2.235157500000000E+009 -3.305235244768348E-001 4.957301148257125E+001 
2.235165000000000E+009 -3.305140644787585E-001 4.955748801325763E+001 
2.235172500000000E+009 -3.283647420005067E-001 4.956751694580579E+001 
2.235180000000000E+009 -3.298949738906231E-001 4.954956749255315E+001 
2.235187500000000E+009 -3.298428394210342E-001 4.955003297272759E+001 
2.235195000000000E+009 -3.303492794665521E-001 4.953512891118147E+001 
2.235202500000000E+009 -3.317552969544357E-001 4.952632381579897E+001 
2.235210000000000E+009 -3.324604579379625E-001 4.950498631930989E+001 
2.235217500000000E+009 -3.314026150488334E-001 4.950412605751424E+001 
2.235225000000000E+009 -3.313328001636298E-001 4.949653583268506E+001 
2.235232500000000E+009 -3.323544009749676E-001 4.947469721794865E+001 
2.235240000000000E+009 -3.302064694615796E-001 4.949447695930384E+001 
2.235247500000000E+009 -3.316907101869847E-001 4.946086189014223E+001 
2.235255000000000E+009 -3.316329772356223E-001 4.944831521457596E+001 
2.235262500000000E+009 -3.330900904504734E-001 4.944333193266253E+001 
2.235270000000000E+009 -3.311159896165347E-001 4.943121822861394E+001 
2.235277500000000E+009 -3.325029587991124E-001 4.941399264846822E+001 
2.235285000000000E+009 -3.316236954920803E-001 4.941985519788793E+001 
2.235292500000000E+009 -3.322053327681649E-001 4.939984639092079E+001 
2.235300000000000E+009 -3.317942310144947E-001 4.939425155031498E+001 
2.235307500000000E+009 -3.330784332095179E-001 4.940121799900024E+001 
2.235315000000000E+009 -3.322396544810551E-001 4.937253778428966E+001 
2.235322500000000E+009 -3.319667193958287E-001 4.937678000304828E+001 
2.235330000000000E+009 -3.316609551907030E-001 4.935858738614098E+001 
2.235337500000000E+009 -3.303832187998235E-001 4.935438085939986E+001 
2.235345000000000E+009 -3.316564862403771E-001 4.934821896929932E+001 
2.235352500000000E+009 -3.331777992420800E-001 4.933860010511428E+001 
2.235360000000000E+009 -3.312881429025139E-001 4.932267128775752E+001 
2.235367500000000E+009 -3.319343802144211E-001 4.932687484119395E+001 
2.235375000000000E+009 -3.335606268903672E-001 4.931263707884571E+001 
2.235382500000000E+009 -3.324750772856802E-001 4.928641807188660E+001 
2.235390000000000E+009 -3.338130902715154E-001 4.929026570838407E+001 
2.235397500000000E+009 -3.328503285059989E-001 4.927093108168876E+001 
