# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.181426205289878E-001 4.983622348668265E+001 
2.235007500000000E+009 -3.244527452343169E-001 4.983711681061116E+001 
2.235015000000000E+009 -3.236269390645963E-001 4.980904686319030E+001 
2.235022500000000E+009 -3.257562304625675E-001 4.980957869426447E+001 
2.235030000000000E+009 -3.245572594144163E-001 4.980577556707499E+001 
2.235037500000000E+009 -3.245256228421831E-001 4.976988301194128E+001 
2.235045000000000E+009 -3.249378747808012E-001 4.978185247940085E+001 
2.235052500000000E+009 -3.254196731334363E-001 4.977229225282166E+001 
2.235060000000000E+009 -3.255860035771233E-001 4.975510670888303E+001 
2.235067500000000E+009 -3.269471159735125E-001 4.973673346893494E+001 
2.235075000000000E+009 -3.257072643482124E-001 4.973217975475158E+001 
2.235082500000000E+009 -3.253170525031008E-001 4.972012881732911E+001 
2.235090000000000E+009 -3.243303270492265E-001 4.972026738008020E+001 
2.235097500000000E+009 -3.257435277379414E-001 4.970639789367360E+001 
2.235105000000000E+009 -3.265002322752829E-001 4.968969869682181E+001 
2.235112500000000E+009 -3.257643902368200E-001 4.969161881157751E+001 
2.235120000000000E+009 -3.266491352869654E-001 4.966801980116775E+001 
2.235127500000000E+009 -3.272413293089319E-001 4.967004302985747E+001 
2.235135000000000E+009 -3.252765340802129E-001 4.965946050925351E+001 
2.235142500000000E+009 -3.261804054918205E-001 4.965012133478130E+001 
2.235150000000000E+009 -3.266736302780210E-001 4.964850538278557E+001 
2.235157500000000E+009 -3.273349805720959E-001 4.962950421937003E+001 
2.235165000000000E+009 -3.254389126402694E-001 4.961930300017683E+001 
2.235172500000000E+009 -3.268621330568408E-001 4.959312113859183E+001 
2.235180000000000E+009 -3.247635350681489E-001 4.961237601710185E+001 
2.235187500000000E+009 -3.258645173506857E-001 4.957470921451679E+001 
2.235195000000000E+009 -3.256308513445509E-001 4.958294198488001E+001 
2.235202500000000E+009 -3.267784457457408E-001 4.955888085355322E+001 
2.235210000000000E+009 -3.278504214721912E-001 4.955779216676456E+001 
2.235217500000000E+009 -3.259699350854842E-001 4.955114070344578E+001 
2.235225000000000E+009 -3.270580221323026E-001 4.953550826610212E+001 
2.235232500000000E+009 -3.261909521269055E-001 4.952048377517951E+001 
2.235240000000000E+009 -3.239406184970607E-001 4.952037482225167E+001 
2.235247500000000E+009 -3.259480828205505E-001 4.952662434960499E+001 
2.235255000000000E+009 -3.245373382882905E-001 4.951180212969212E+001 
2.235262500000000E+009 -3.274103687231174E-001 4.948610663650831E+001 
2.235270000000000E+009 -3.282370084166314E-001 4.948696430766808E+001 
2.235277500000000E+009 -3.257024708097434E-001 4.947835333250911E+001 
2.235285000000000E+009 -3.276480435064854E-001 4.947300651601037E+001 
2.235292500000000E+009 -3.284948542447400E-001 4.945501501056859E+001 
2.235300000000000E+009 -3.257144940281213E-001 4.945726203958901E+001 
2.235307500000000E+009 -3.282418474201784E-001 4.942312527678401E+001 
2.235315000000000E+009 -3.270351890035108E-001 4.942820720879467E+001 
2.235322500000000E+009 -3.266324543721367E-001 4.942276686005163E+001 
2.235330000000000E+009 -3.275978895894418E-001 4.941759609803372E+001 
2.235337500000000E+009 -3.274359644553119E-001 4.941084804409611E+001 
2.235345000000000E+009 -3.266261142415773E-001 4.939515116703545E+001 
2.235352500000000E+009 -3.269911339644830E-001 4.938079905002289E+001 
2.235360000000000E+009 -3.281938282970531E-001 4.935873177890193E+001 
2.235367500000000E+009 -3.267498271481553E-001 4.935269834080737E+001 
2.235375000000000E+009 -3.279337540525819E-001 4.936676512171434E+001 
2.235382500000000E+009 -3.282223583838562E-001 4.934384411041928E+001 
2.235390000000000E+009 -3.275493639045975E-001 4.933850709985642E+001 
2.235397500000000E+009 -3.255657181091202E-001 4.933152967953427E+001 
2.235405000000000E+009 -3.273055752809161E-001 4.932171473647305E+001 
2.235412500000000E+009 -3.267805566430478E-001 4.930319078118432E+001 
2.235420000000000E+009 -3.276403544604377E-001 4.929417283475332E+001 
2.235427500000000E+009 -3.281255478407207E-001 4.927410177976544E+001 
2.235435000000000E+009 -3.287901476743949E-001 4.926402231717275E+001 
2.235442500000000E+009 -3.258059039686119E-001 4.927092155048669E+001 
2.235450000000000E+009 -3.297457030113666E-001 4.925432276859998E+001 
2.235457500000000E+009 -3.282661218381342E-001 4.922452828161955E+001 
2.235465000000000E+009 -3.291022028862072E-001 4.922858808901993E+001 
2.235472500000000E+009 -3.262946054738754E-001 4.924740508424024E+001 
2.235480000000000E+009 -3.276631279253374E-001 4.921357077005566E+001 
2.235487500000000E+009 -3.290303026050241E-001 4.920296968063249E+001 
2.235495000000000E+009 -3.269253882249172E-001 4.919332013517137E+001 
2.235502500000000E+009 -3.263767830614666E-001 4.917473435067743E+001 
2.235510000000000E+009 -3.245444073104871E-001 4.916875617364640E+001 
2.235517500000000E+009 -3.269644696011835E-001 4.916975015309868E+001 
2.235525000000000E+009 -3.274288474003092E-001 4.915137389956048E+001 
2.235532500000000E+009 -3.272942825105146E-001 4.913694467186436E+001 
2.235540000000000E+009 -3.277265574455905E-001 4.914277444918648E+001 
2.235547500000000E+009 -3.292354469018798E-001 4.913260847241617E+001 
2.235555000000000E+009 -3.280332731530207E-001 4.912495571670186E+001 
2.235562500000000E+009 -3.264926102850992E-001 4.910845832172094E+001 
2.235570000000000E+009 -3.288480139030423E-001 4.908102812801572E+001 
2.235577500000000E+009 -3.271566058381293E-001 4.910167536405167E+001 
2.235585000000000E+009 -3.263872677708399E-001 4.908218029967490E+001 
2.235592500000000E+009 -3.278213391570071E-001 4.907290817612557E+001 
2.235600000000000E+009 -3.268156185883648E-001 4.904893930296718E+001 
2.235607500000000E+009 -3.274075758744133E-001 4.904836162886362E+001 
2.235615000000000E+009 -3.302527090930759E-001 4.903709502900746E+001 
2.235622500000000E+009 -3.278045630768869E-001 4.901099957706715E+001 
2.235630000000000E+009 -3.282983391280781E-001 4.902064635938942E+001 
2.235637500000000E+009 -3.270828943881110E-001 4.901126721994258E+001 
2.235645000000000E+009 -3.287828487014340E-001 4.898489859567592E+001 
2.235652500000000E+009 -3.277616550149323E-001 4.897934812370013E+001 
2.235660000000000E+009 -3.270049692345768E-001 4.896530774818885E+001 
2.235667500000000E+009 -3.291829839828350E-001 4.896871934157416E+001 
2.235675000000000E+009 -3.281486594794287E-001 4.896327092742271E+001 
2.235682500000000E+009 -3.283947488892532E-001 4.894023648940684E+001 
2.235690000000000E+009 -3.268300178632674E-001 4.892979778518271E+001 
2.235697500000000E+009 -3.292631081662951E-001 4.892277952644569E+001 
2.235705000000000E+009 -3.291231439485142E-001 4.893013550208385E+001 
2.235712500000000E+009 -3.298905180958429E-001 4.891256847063752E+001 
2.235720000000000E+009 -3.267910168214333E-001 4.889750077117444E+001 
2.235727500000000E+009 -3.267043238350980E-001 4.888317784413145E+001 
2.235735000000000E+009 -3.281599379096950E-001 4.887300652262240E+001 
2.235742500000000E+009 -3.286858084427548E-001 4.886076065347884E+001 
2.235750000000000E+009 -3.278369094987586E-001 4.884588597096756E+001 
2.235757500000000E+009 -3.274901085604192E-001 4.885032181983228E+001 
2.235765000000000E+009 -3.267269575125708E-001 4.884472216324652E+001 
2.235772500000000E+009 -3.268805205782238E-001 4.882686893583527E+001 
2.235780000000000E+009 -3.261278958688313E-001 4.881680493155797E+001 
2.235787500000000E+009 -3.279980874933817E-001 4.880789254667572E+001 
2.235795000000000E+009 -3.272331074995684E-001 4.881368276120111E+001 
2.235802500000000E+009 -3.297195890676878E-001 4.879098724591719E+001 
2.235810000000000E+009 -3.279234133193866E-001 4.877077690344237E+001 
2.235817500000000E+009 -3.266928486901511E-001 4.877007245402925E+001 
2.235825000000000E+009 -3.263056938937786E-001 4.875109238552518E+001 
2.235832500000000E+009 -3.273058378473803E-001 4.875979454939083E+001 
