# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.538937600789003E-001 5.027760056575021E+001 
2.235007500000000E+009 -3.582520808461895E-001 5.027032721093212E+001 
2.235015000000000E+009 -3.633395403281165E-001 5.023969005136586E+001 
2.235022500000000E+009 -3.620539356458899E-001 5.025021462017740E+001 
2.235030000000000E+009 -3.634475581558758E-001 5.023455583443635E+001 
2.235037500000000E+009 -3.613895207228646E-001 5.023580751562003E+001 
2.235045000000000E+009 -3.605366294249089E-001 5.018888953056391E+001 
2.235052500000000E+009 -3.634432654388290E-001 5.015159359799433E+001 
2.235060000000000E+009 -3.633638180632524E-001 5.015652638257152E+001 
2.235067500000000E+009 -3.622850270919447E-001 5.016535227854300E+001 
2.235075000000000E+009 -3.624303265365516E-001 5.016878288403671E+001 
2.235082500000000E+009 -3.652340008072887E-001 5.015643833509552E+001 
2.235090000000000E+009 -3.638870925522284E-001 5.011498760177751E+001 
2.235097500000000E+009 -3.616878341285768E-001 5.012982915770213E+001 
2.235105000000000E+009 -3.617645776842227E-001 5.011429215943018E+001 
2.235112500000000E+009 -3.634672380152837E-001 5.009141950358577E+001 
2.235120000000000E+009 -3.627051235168174E-001 5.012751569071295E+001 
2.235127500000000E+009 -3.599468200620073E-001 5.008978925344407E+001 
2.235135000000000E+009 -3.629670530567360E-001 5.006977647091358E+001 
2.235142500000000E+009 -3.663982900334250E-001 5.002289019899019E+001 
2.235150000000000E+009 -3.652955786291955E-001 5.000958445370262E+001 
2.235157500000000E+009 -3.636434913609324E-001 5.006113566883794E+001 
2.235165000000000E+009 -3.633838712358067E-001 5.005259749669636E+001 
2.235172500000000E+009 -3.645867093803529E-001 5.007047427062246E+001 
2.235180000000000E+009 -3.664332458255087E-001 5.002440439105968E+001 
2.235187500000000E+009 -3.619307866090166E-001 5.004106629973001E+001 
2.235195000000000E+009 -3.662729924425232E-001 4.994819052104804E+001 
2.235202500000000E+009 -3.636596209702620E-001 4.997582953663152E+001 
2.235210000000000E+009 -3.648075551627599E-001 4.997740288085839E+001 
2.235217500000000E+009 -3.618141029931907E-001 4.999715729725598E+001 
2.235225000000000E+009 -3.640681980406483E-001 4.998713860453191E+001 
2.235232500000000E+009 -3.652294178779088E-001 4.999626022331246E+001 
2.235240000000000E+009 -3.638503995428998E-001 4.997663065419628E+001 
2.235247500000000E+009 -3.623141388032325E-001 4.994110282560741E+001 
2.235255000000000E+009 -3.642187688001844E-001 4.991133350790324E+001 
2.235262500000000E+009 -3.652313337379599E-001 4.989963225862263E+001 
2.235270000000000E+009 -3.647853082966943E-001 4.992999330577810E+001 
2.235277500000000E+009 -3.633849665569854E-001 4.990502783894072E+001 
2.235285000000000E+009 -3.634944623228718E-001 4.988369211916790E+001 
2.235292500000000E+009 -3.632958528938947E-001 4.987675473871399E+001 
2.235300000000000E+009 -3.617493832391863E-001 4.987842848377574E+001 
2.235307500000000E+009 -3.641588307409954E-001 4.988964714170602E+001 
2.235315000000000E+009 -3.646769180904953E-001 4.985769878852939E+001 
2.235322500000000E+009 -3.675211590723014E-001 4.983029613918414E+001 
2.235330000000000E+009 -3.642603042641464E-001 4.982366749238020E+001 
