# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.396242699244418E-001 5.004572204308152E+001 
2.235007500000000E+009 -3.445214644018062E-001 5.000366421571270E+001 
2.235015000000000E+009 -3.449803263376043E-001 5.000094063707321E+001 
2.235022500000000E+009 -3.480753788462658E-001 4.999055765109221E+001 
2.235030000000000E+009 -3.463694006392041E-001 4.996702308950921E+001 
2.235037500000000E+009 -3.468197808874992E-001 4.996337051172358E+001 
2.235045000000000E+009 -3.477077877430392E-001 4.993666826799275E+001 
2.235052500000000E+009 -3.485621203770136E-001 4.994662610773136E+001 
2.235060000000000E+009 -3.474978657230806E-001 4.993166095381144E+001 
2.235067500000000E+009 -3.467174142105704E-001 4.991232425376937E+001 
2.235075000000000E+009 -3.461745689820822E-001 4.992862312329610E+001 
2.235082500000000E+009 -3.491952576812573E-001 4.989645577477326E+001 
2.235090000000000E+009 -3.498054000865928E-001 4.988832721016361E+001 
2.235097500000000E+009 -3.463676637341727E-001 4.988219086517876E+001 
2.235105000000000E+009 -3.464197546742552E-001 4.989654283637790E+001 
2.235112500000000E+009 -3.475805916705718E-001 4.989224527188870E+001 
2.235120000000000E+009 -3.495972299179707E-001 4.986058818367212E+001 
2.235127500000000E+009 -3.485048584776244E-001 4.984113604573530E+001 
2.235135000000000E+009 -3.473847517978808E-001 4.985319435709535E+001 
2.235142500000000E+009 -3.488451192794981E-001 4.982918822915075E+001 
2.235150000000000E+009 -3.465612364924844E-001 4.983007924679836E+001 
2.235157500000000E+009 -3.486959539833266E-001 4.981340097971461E+001 
2.235165000000000E+009 -3.467120753113795E-001 4.978031942725755E+001 
2.235172500000000E+009 -3.475385185791819E-001 4.977364598721458E+001 
2.235180000000000E+009 -3.452616284012096E-001 4.976974101730112E+001 
2.235187500000000E+009 -3.463333565508502E-001 4.975084439953474E+001 
2.235195000000000E+009 -3.478894216027515E-001 4.975673599278341E+001 
2.235202500000000E+009 -3.486630149839952E-001 4.974957552667107E+001 
2.235210000000000E+009 -3.481114693538633E-001 4.976625479034839E+001 
2.235217500000000E+009 -3.491354131838964E-001 4.974113108036769E+001 
2.235225000000000E+009 -3.471760987961204E-001 4.972918260695150E+001 
2.235232500000000E+009 -3.486855815054873E-001 4.970840952075800E+001 
2.235240000000000E+009 -3.494120314166921E-001 4.973071658678902E+001 
2.235247500000000E+009 -3.472455982732374E-001 4.970683624472355E+001 
2.235255000000000E+009 -3.475388113058440E-001 4.968276967356047E+001 
2.235262500000000E+009 -3.465691306832009E-001 4.966333313901258E+001 
2.235270000000000E+009 -3.470092106377682E-001 4.966609214074737E+001 
2.235277500000000E+009 -3.481595390456278E-001 4.965445017315339E+001 
2.235285000000000E+009 -3.456860139616294E-001 4.962293552883130E+001 
2.235292500000000E+009 -3.485570687181956E-001 4.961660273287537E+001 
2.235300000000000E+009 -3.484085637173151E-001 4.962170194515167E+001 
2.235307500000000E+009 -3.500323761198476E-001 4.960896191171268E+001 
2.235315000000000E+009 -3.483456596217146E-001 4.961897001860826E+001 
2.235322500000000E+009 -3.477133860763998E-001 4.959882099633354E+001 
2.235330000000000E+009 -3.478684275948854E-001 4.957134737150896E+001 
2.235337500000000E+009 -3.499526980351592E-001 4.957446273371112E+001 
2.235345000000000E+009 -3.483439381231676E-001 4.956640141741739E+001 
2.235352500000000E+009 -3.478270035490076E-001 4.953867780465066E+001 
2.235360000000000E+009 -3.497601974331199E-001 4.956205832412175E+001 
2.235367500000000E+009 -3.484210419524311E-001 4.954300739589458E+001 
2.235375000000000E+009 -3.497354153877601E-001 4.949770864054680E+001 
2.235382500000000E+009 -3.477848569243453E-001 4.951087310123113E+001 
2.235390000000000E+009 -3.501493894059345E-001 4.951846606485994E+001 
2.235397500000000E+009 -3.483247037928071E-001 4.949839502090120E+001 
2.235405000000000E+009 -3.487219769570254E-001 4.950485952898524E+001 
2.235412500000000E+009 -3.491905691490056E-001 4.950425010773351E+001 
2.235420000000000E+009 -3.496961299980465E-001 4.945673796201766E+001 
2.235427500000000E+009 -3.494972358972741E-001 4.943864679231518E+001 
2.235435000000000E+009 -3.482333325310791E-001 4.941757795947730E+001 
2.235442500000000E+009 -3.476378588584939E-001 4.942858154408887E+001 
2.235450000000000E+009 -3.497741450761169E-001 4.939759789288284E+001 
2.235457500000000E+009 -3.495901829800580E-001 4.941700853224924E+001 
2.235465000000000E+009 -3.504052070576197E-001 4.939910293353230E+001 
2.235472500000000E+009 -3.494314764043779E-001 4.939069360801022E+001 
2.235480000000000E+009 -3.491580754739953E-001 4.938087315722181E+001 
2.235487500000000E+009 -3.481224350905111E-001 4.937002603994687E+001 
2.235495000000000E+009 -3.494356244960890E-001 4.936957484313250E+001 
2.235502500000000E+009 -3.493295515226039E-001 4.937106300965487E+001 
2.235510000000000E+009 -3.501250066862275E-001 4.935111825616490E+001 
2.235517500000000E+009 -3.487222848779953E-001 4.934149469579238E+001 
2.235525000000000E+009 -3.497238615395327E-001 4.931672606713495E+001 
2.235532500000000E+009 -3.497117975419568E-001 4.933251979926850E+001 
2.235540000000000E+009 -3.510595130577677E-001 4.929369989675985E+001 
