# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.928662727005939E+001 4.547598188692998E+001 
1.500375000000000E+009 -5.943254030916022E+001 4.453186362153220E+001 
1.500750000000000E+009 -5.946732906353463E+001 4.507073715115225E+001 
1.501125000000000E+009 -5.905948187543918E+001 4.367896294934414E+001 
1.501500000000000E+009 -5.918357810752342E+001 4.286979585547140E+001 
1.501875000000000E+009 -5.891910525317594E+001 4.420010424856044E+001 
1.502250000000000E+009 -5.912812878903711E+001 4.385376874438047E+001 
1.502625000000000E+009 -5.896108429512508E+001 4.219334686141825E+001 
1.503000000000000E+009 -5.896953104255068E+001 4.282905198428772E+001 
1.503375000000000E+009 -5.865146290583583E+001 4.073898244869103E+001 
1.503750000000000E+009 -5.854878766748923E+001 4.049199850870406E+001 
1.504125000000000E+009 -5.830087298134587E+001 4.124106616621292E+001 
1.504500000000000E+009 -5.846731583423146E+001 3.987687935007246E+001 
1.504875000000000E+009 -5.837932788732050E+001 3.971092632162864E+001 
1.505250000000000E+009 -5.843177149924572E+001 3.972442733389494E+001 
1.505625000000000E+009 -5.816429143164002E+001 3.974118579742109E+001 
1.506000000000000E+009 -5.831026741936012E+001 3.964162426236130E+001 
1.506375000000000E+009 -5.820372716139622E+001 3.844668543988902E+001 
1.506750000000000E+009 -5.798581759796745E+001 3.765409010767549E+001 
1.507125000000000E+009 -5.788011854523807E+001 3.803564359673383E+001 
1.507500000000000E+009 -5.788759201430523E+001 3.730788330868482E+001 
1.507875000000000E+009 -5.781554186690338E+001 3.754262513114754E+001 
1.508250000000000E+009 -5.772604305502681E+001 3.716666536681637E+001 
1.508625000000000E+009 -5.768807262922316E+001 3.555339371114583E+001 
1.509000000000000E+009 -5.781211566048174E+001 3.498151914041485E+001 
1.509375000000000E+009 -5.763391256432056E+001 3.488328501302633E+001 
1.509750000000000E+009 -5.766699697319515E+001 3.405636929473398E+001 
1.510125000000000E+009 -5.735748718226913E+001 3.377858839336432E+001 
1.510500000000000E+009 -5.742163410954485E+001 3.405002658510595E+001 
1.510875000000000E+009 -5.741853532769712E+001 3.434579320772074E+001 
1.511250000000000E+009 -5.738969434259436E+001 3.413173516057115E+001 
