# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.930398749682625E+001 4.647951092472835E+001 
1.500375000000000E+009 -5.910821206160390E+001 4.713402952639384E+001 
1.500750000000000E+009 -5.908523614410519E+001 4.512957167221435E+001 
1.501125000000000E+009 -5.897200249388482E+001 4.386388151744373E+001 
1.501500000000000E+009 -5.901006959877729E+001 4.390806031525295E+001 
1.501875000000000E+009 -5.894150671482099E+001 4.270131322801497E+001 
1.502250000000000E+009 -5.889964324048579E+001 4.292543532593944E+001 
1.502625000000000E+009 -5.865209792162728E+001 4.337444498866718E+001 
1.503000000000000E+009 -5.875642377737043E+001 4.323744492676366E+001 
1.503375000000000E+009 -5.846778093141090E+001 4.387391349388953E+001 
1.503750000000000E+009 -5.839645751097742E+001 4.160657151730527E+001 
1.504125000000000E+009 -5.857969350671955E+001 4.073406460714738E+001 
1.504500000000000E+009 -5.832388364327123E+001 3.993483295880903E+001 
1.504875000000000E+009 -5.812155734601600E+001 4.080337597480899E+001 
1.505250000000000E+009 -5.833092053653978E+001 3.929627490871637E+001 
1.505625000000000E+009 -5.816987470646266E+001 3.984658639766314E+001 
1.506000000000000E+009 -5.816803283334173E+001 3.896459759122538E+001 
1.506375000000000E+009 -5.800536053069946E+001 3.799488481396129E+001 
1.506750000000000E+009 -5.782266175779279E+001 3.696821396953996E+001 
1.507125000000000E+009 -5.804918220421997E+001 3.782202878280670E+001 
1.507500000000000E+009 -5.760640170803833E+001 3.634306239022661E+001 
1.507875000000000E+009 -5.766871485423802E+001 3.635980426957854E+001 
1.508250000000000E+009 -5.786090855450113E+001 3.699753441396703E+001 
1.508625000000000E+009 -5.758193861649884E+001 3.588890477070506E+001 
1.509000000000000E+009 -5.731963661760960E+001 3.582689976068728E+001 
1.509375000000000E+009 -5.751844652181742E+001 3.653501895383938E+001 
1.509750000000000E+009 -5.744641890233933E+001 3.378425879681355E+001 
1.510125000000000E+009 -5.733353985143415E+001 3.480602807624759E+001 
1.510500000000000E+009 -5.752774953561133E+001 3.504155908996913E+001 
1.510875000000000E+009 -5.690914701290393E+001 3.496300648990121E+001 
1.511250000000000E+009 -5.734778571905211E+001 3.317027935462593E+001 
1.511625000000000E+009 -5.719663192444782E+001 3.413681396088513E+001 
1.512000000000000E+009 -5.692357491937704E+001 3.369557729550797E+001 
1.512375000000000E+009 -5.716389489822625E+001 3.261430403252776E+001 
1.512750000000000E+009 -5.691467537347688E+001 3.212859348453169E+001 
1.513125000000000E+009 -5.684141379559772E+001 3.277527757441933E+001 
1.513500000000000E+009 -5.681711416606219E+001 3.158551412372788E+001 
1.513875000000000E+009 -5.681809753481414E+001 3.217871341776915E+001 
1.514250000000000E+009 -5.651509413030522E+001 3.153271846421388E+001 
1.514625000000000E+009 -5.662277600865169E+001 3.105805155312672E+001 
1.515000000000000E+009 -5.643101471490343E+001 3.087295407817096E+001 
1.515375000000000E+009 -5.668370596599027E+001 3.116652181825593E+001 
1.515750000000000E+009 -5.643796179495371E+001 2.994583499129893E+001 
1.516125000000000E+009 -5.636686405569700E+001 2.884818561416736E+001 
1.516500000000000E+009 -5.648156790076328E+001 2.849176636250786E+001 
1.516875000000000E+009 -5.620582507895483E+001 2.879127740076218E+001 
1.517250000000000E+009 -5.622055508592044E+001 2.872254173998516E+001 
1.517625000000000E+009 -5.607812318676157E+001 2.842890993986566E+001 
1.518000000000000E+009 -5.593659423120354E+001 2.747933406996357E+001 
1.518375000000000E+009 -5.626328151931641E+001 2.731047072680240E+001 
1.518750000000000E+009 -5.571520865024090E+001 2.863863828500696E+001 
1.519125000000000E+009 -5.560795963624031E+001 2.719434860820421E+001 
1.519500000000000E+009 -5.565219393105250E+001 2.581759071436055E+001 
1.519875000000000E+009 -5.591620101131062E+001 2.687440138370463E+001 
1.520250000000000E+009 -5.562840220124348E+001 2.578294038508450E+001 
1.520625000000000E+009 -5.587694578935651E+001 2.434531298266397E+001 
1.521000000000000E+009 -5.542529337193103E+001 2.449058622585370E+001 
1.521375000000000E+009 -5.528196651918805E+001 2.430000491454877E+001 
1.521750000000000E+009 -5.548075180067790E+001 2.376485909616052E+001 
1.522125000000000E+009 -5.549201119758398E+001 2.260794192044386E+001 
1.522500000000000E+009 -5.541402772565859E+001 2.148920233400396E+001 
1.522875000000000E+009 -5.521183534394495E+001 2.247707193870733E+001 
1.523250000000000E+009 -5.541154096025223E+001 2.234649750929030E+001 
1.523625000000000E+009 -5.501061805485653E+001 2.381289181706862E+001 
1.524000000000000E+009 -5.485895019368845E+001 2.238706269296592E+001 
1.524375000000000E+009 -5.502100273667188E+001 2.191704864116964E+001 
1.524750000000000E+009 -5.496003090786000E+001 1.991043269437560E+001 
1.525125000000000E+009 -5.488893321259388E+001 2.021698792060703E+001 
1.525500000000000E+009 -5.471420556996622E+001 2.072214160112068E+001 
1.525875000000000E+009 -5.502478080827829E+001 2.026136030628212E+001 
1.526250000000000E+009 -5.465177436207571E+001 1.957286513478896E+001 
1.526625000000000E+009 -5.436387784265765E+001 1.902339189376630E+001 
1.527000000000000E+009 -5.453451989226321E+001 1.849373931764786E+001 
1.527375000000000E+009 -5.458601322281558E+001 1.866270639332044E+001 
1.527750000000000E+009 -5.468520062129635E+001 1.700926530236117E+001 
1.528125000000000E+009 -5.428977506266693E+001 1.802396830569839E+001 
1.528500000000000E+009 -5.448710254371573E+001 1.729890108550793E+001 
1.528875000000000E+009 -5.431222940920226E+001 1.708390537900430E+001 
1.529250000000000E+009 -5.407357912760459E+001 1.509135580240741E+001 
1.529625000000000E+009 -5.417821922036459E+001 1.778698221539959E+001 
1.530000000000000E+009 -5.453758109602035E+001 1.557281253793155E+001 
1.530375000000000E+009 -5.413543665821139E+001 1.647225690815240E+001 
1.530750000000000E+009 -5.401956302016188E+001 1.329975185240104E+001 
1.531125000000000E+009 -5.431608726396359E+001 1.397441664443501E+001 
1.531500000000000E+009 -5.422651884956554E+001 1.290528639674535E+001 
1.531875000000000E+009 -5.367904601070102E+001 1.391412543512335E+001 
1.532250000000000E+009 -5.375503510691607E+001 1.437048577474489E+001 
1.532625000000000E+009 -5.390031887418277E+001 1.342952716213517E+001 
1.533000000000000E+009 -5.374051423403419E+001 1.471627701376107E+001 
1.533375000000000E+009 -5.344310231240279E+001 1.128556290996901E+001 
1.533750000000000E+009 -5.367064336779060E+001 1.299571051849691E+001 
1.534125000000000E+009 -5.337124317528120E+001 1.158693914983684E+001 
1.534500000000000E+009 -5.361790638203713E+001 1.265446509140203E+001 
1.534875000000000E+009 -5.357340158885514E+001 1.262353863686147E+001 
1.535250000000000E+009 -5.312302232342194E+001 1.152114256531806E+001 
1.535625000000000E+009 -5.334035497967491E+001 1.233420812298621E+001 
1.536000000000000E+009 -5.333246807212800E+001 1.088229690143868E+001 
1.536375000000000E+009 -5.323831700993441E+001 1.047475975930170E+001 
1.536750000000000E+009 -5.318437332038717E+001 1.066080542162182E+001 
1.537125000000000E+009 -5.305302217030199E+001 1.058702449167345E+001 
1.537500000000000E+009 -5.288141480552365E+001 1.013155877840213E+001 
