# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.938339298964782E+001 4.316496962656758E+001 
1.500375000000000E+009 -5.955817710543972E+001 4.112685217976405E+001 
1.500750000000000E+009 -5.964185027906790E+001 4.409934489025038E+001 
1.501125000000000E+009 -5.956966415626188E+001 4.284358307522821E+001 
1.501500000000000E+009 -5.919796024571298E+001 3.986988858924558E+001 
1.501875000000000E+009 -5.945156370105165E+001 3.951816704454966E+001 
1.502250000000000E+009 -5.953827155254407E+001 4.078253668290296E+001 
1.502625000000000E+009 -5.933527761729150E+001 4.090448798020763E+001 
1.503000000000000E+009 -5.892075604646342E+001 3.968473762860031E+001 
1.503375000000000E+009 -5.915697484154357E+001 3.928110136774313E+001 
1.503750000000000E+009 -5.886984810246606E+001 3.897569593573576E+001 
1.504125000000000E+009 -5.892315989120049E+001 3.925512858400135E+001 
1.504500000000000E+009 -5.885997195820556E+001 3.696469718917464E+001 
1.504875000000000E+009 -5.864046327249935E+001 3.835223106729998E+001 
1.505250000000000E+009 -5.888115814540015E+001 3.744932656115531E+001 
1.505625000000000E+009 -5.872385182425207E+001 3.620879220236428E+001 
1.506000000000000E+009 -5.861016277266484E+001 3.667625507979744E+001 
1.506375000000000E+009 -5.853707781696100E+001 3.668757449769223E+001 
1.506750000000000E+009 -5.840292991254406E+001 3.571239692321917E+001 
1.507125000000000E+009 -5.834518847632950E+001 3.393812879815872E+001 
1.507500000000000E+009 -5.830025245900429E+001 3.503441753687985E+001 
1.507875000000000E+009 -5.828335432696606E+001 3.402838310452825E+001 
1.508250000000000E+009 -5.809146823504835E+001 3.581452557079519E+001 
1.508625000000000E+009 -5.795877861805104E+001 3.488221646885533E+001 
1.509000000000000E+009 -5.809931747288470E+001 3.378976430244205E+001 
1.509375000000000E+009 -5.790875824967269E+001 3.342334064088281E+001 
1.509750000000000E+009 -5.772528274987212E+001 3.300740535468808E+001 
1.510125000000000E+009 -5.790223053234969E+001 3.381525814758510E+001 
1.510500000000000E+009 -5.769790908329355E+001 3.343573737662930E+001 
1.510875000000000E+009 -5.771115967609700E+001 3.241295089486007E+001 
1.511250000000000E+009 -5.744248950187749E+001 3.083931813764563E+001 
1.511625000000000E+009 -5.762732367946000E+001 3.087925808383094E+001 
1.512000000000000E+009 -5.758353899989885E+001 3.136897873350164E+001 
1.512375000000000E+009 -5.745057597593821E+001 2.920661283491577E+001 
1.512750000000000E+009 -5.745586166886037E+001 3.071159957398709E+001 
1.513125000000000E+009 -5.709010851531562E+001 2.924682677375669E+001 
1.513500000000000E+009 -5.733303622272013E+001 2.745251951704394E+001 
1.513875000000000E+009 -5.727439037477901E+001 2.941705241236206E+001 
1.514250000000000E+009 -5.692870053854382E+001 2.937616006935960E+001 
1.514625000000000E+009 -5.696932055173438E+001 2.876643022947017E+001 
1.515000000000000E+009 -5.687723711566881E+001 2.874968498573401E+001 
1.515375000000000E+009 -5.720507679424618E+001 2.714685280591648E+001 
1.515750000000000E+009 -5.701605304327839E+001 2.626482732606857E+001 
1.516125000000000E+009 -5.666692648487289E+001 2.706518653740799E+001 
1.516500000000000E+009 -5.680488808543326E+001 2.507721216076807E+001 
1.516875000000000E+009 -5.677574766642821E+001 2.675397853592305E+001 
1.517250000000000E+009 -5.664403005208075E+001 2.630258636403892E+001 
1.517625000000000E+009 -5.677732867466989E+001 2.615801168828570E+001 
1.518000000000000E+009 -5.638049801136121E+001 2.540011861248592E+001 
1.518375000000000E+009 -5.661816727450316E+001 2.493886828865186E+001 
1.518750000000000E+009 -5.667774809355834E+001 2.333443349071592E+001 
1.519125000000000E+009 -5.666328727764735E+001 2.268441782955384E+001 
1.519500000000000E+009 -5.621221113333065E+001 2.269120069042500E+001 
1.519875000000000E+009 -5.619915859659410E+001 2.409386176451144E+001 
1.520250000000000E+009 -5.620896214734552E+001 2.312570440211408E+001 
1.520625000000000E+009 -5.624790502474314E+001 2.230506066250552E+001 
1.521000000000000E+009 -5.636826911632029E+001 2.221514363740257E+001 
1.521375000000000E+009 -5.596963529886232E+001 2.055404624178451E+001 
1.521750000000000E+009 -5.588237864661028E+001 1.868460667284071E+001 
1.522125000000000E+009 -5.594764186703772E+001 2.064469502260796E+001 
1.522500000000000E+009 -5.574623555426707E+001 2.011522159853454E+001 
1.522875000000000E+009 -5.604880508962884E+001 2.155970828151127E+001 
1.523250000000000E+009 -5.579454855402786E+001 2.061381153213567E+001 
1.523625000000000E+009 -5.566702464465401E+001 1.918486453396699E+001 
1.524000000000000E+009 -5.574103283789395E+001 1.887674696858449E+001 
1.524375000000000E+009 -5.570627001875275E+001 1.871343769833335E+001 
1.524750000000000E+009 -5.531176413977124E+001 1.872421763733270E+001 
1.525125000000000E+009 -5.565623371527063E+001 1.927531618175453E+001 
1.525500000000000E+009 -5.536037297354833E+001 1.663391430633074E+001 
1.525875000000000E+009 -5.529832547752920E+001 1.725173668542249E+001 
1.526250000000000E+009 -5.519808852746644E+001 1.543637189334429E+001 
1.526625000000000E+009 -5.543649897008737E+001 1.643270650457699E+001 
1.527000000000000E+009 -5.505210869974366E+001 1.579733502072303E+001 
1.527375000000000E+009 -5.477879222864654E+001 1.672685146997345E+001 
1.527750000000000E+009 -5.482285726834055E+001 1.747931385395335E+001 
1.528125000000000E+009 -5.467956107552248E+001 1.481352939572509E+001 
1.528500000000000E+009 -5.535836387271195E+001 1.409036001115935E+001 
1.528875000000000E+009 -5.454356015030088E+001 1.639741443882866E+001 
1.529250000000000E+009 -5.455672513084711E+001 1.382045639698839E+001 
1.529625000000000E+009 -5.493022294362406E+001 1.402092328194724E+001 
1.530000000000000E+009 -5.415905113159646E+001 1.423452237290099E+001 
1.530375000000000E+009 -5.464169728110613E+001 1.320672229367317E+001 
1.530750000000000E+009 -5.493636190334156E+001 1.208266370495215E+001 
1.531125000000000E+009 -5.433537052193379E+001 1.224464060842102E+001 
1.531500000000000E+009 -5.445145168563653E+001 1.225862025741900E+001 
1.531875000000000E+009 -5.434617336882003E+001 1.110638745413895E+001 
1.532250000000000E+009 -5.409087588046333E+001 1.264508760869697E+001 
1.532625000000000E+009 -5.421608249280047E+001 9.685858675700295E+000 
1.533000000000000E+009 -5.407255703493802E+001 9.333665528973876E+000 
1.533375000000000E+009 -5.439511945800430E+001 1.204287747188341E+001 
1.533750000000000E+009 -5.417359780891881E+001 1.061748756477339E+001 
1.534125000000000E+009 -5.398298544474404E+001 9.837294767247165E+000 
1.534500000000000E+009 -5.422594698477029E+001 9.969663084092458E+000 
1.534875000000000E+009 -5.407867476150125E+001 1.128896901905234E+001 
1.535250000000000E+009 -5.378045307347326E+001 6.885003967281143E+000 
1.535625000000000E+009 -5.384548730994096E+001 8.686321499047807E+000 
