# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.178039375036570E-001 4.999930706328549E+001 
2.235007500000000E+009 -3.213968020652789E-001 4.997136461662485E+001 
2.235015000000000E+009 -3.251670000969824E-001 4.996663487022367E+001 
2.235022500000000E+009 -3.263265305245391E-001 4.994977048330582E+001 
2.235030000000000E+009 -3.248362181212282E-001 4.994236436072877E+001 
2.235037500000000E+009 -3.252685885466535E-001 4.992833672639626E+001 
2.235045000000000E+009 -3.271122153976625E-001 4.991007736121181E+001 
2.235052500000000E+009 -3.235624949692901E-001 4.990502316213173E+001 
2.235060000000000E+009 -3.247178153069873E-001 4.990184143632290E+001 
2.235067500000000E+009 -3.248314088397645E-001 4.988961936461764E+001 
2.235075000000000E+009 -3.258690627550799E-001 4.987236508602722E+001 
2.235082500000000E+009 -3.264266368454780E-001 4.987277933986755E+001 
2.235090000000000E+009 -3.247291609031635E-001 4.985121836838359E+001 
2.235097500000000E+009 -3.240566136945943E-001 4.983266623630804E+001 
2.235105000000000E+009 -3.256376189846708E-001 4.983368390268041E+001 
2.235112500000000E+009 -3.264112011020084E-001 4.983841972434102E+001 
2.235120000000000E+009 -3.238683707494570E-001 4.981159361608189E+001 
2.235127500000000E+009 -3.246316599100769E-001 4.982787393754995E+001 
2.235135000000000E+009 -3.254606256228412E-001 4.981262505525428E+001 
2.235142500000000E+009 -3.241526172250940E-001 4.980685378640754E+001 
2.235150000000000E+009 -3.257874941030311E-001 4.979442121021523E+001 
2.235157500000000E+009 -3.267122040538067E-001 4.975798655937815E+001 
2.235165000000000E+009 -3.258038205092588E-001 4.975675451721631E+001 
2.235172500000000E+009 -3.240606549960629E-001 4.975647848344577E+001 
2.235180000000000E+009 -3.254457729533352E-001 4.973546636359316E+001 
2.235187500000000E+009 -3.254172963072445E-001 4.974402045893631E+001 
2.235195000000000E+009 -3.253978411065553E-001 4.971915522515216E+001 
2.235202500000000E+009 -3.272605488722438E-001 4.970705178825025E+001 
