# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.941997850851618E+001 4.361750170000484E+001 
1.500375000000000E+009 -5.912924091544412E+001 4.546882917808196E+001 
1.500750000000000E+009 -5.922989067577387E+001 4.345567565224844E+001 
1.501125000000000E+009 -5.928306585797088E+001 4.241298346772191E+001 
1.501500000000000E+009 -5.871346517835514E+001 4.604790630950776E+001 
1.501875000000000E+009 -5.892709362095429E+001 4.340672940059052E+001 
1.502250000000000E+009 -5.904297666110220E+001 4.240996941948166E+001 
1.502625000000000E+009 -5.881273515002247E+001 4.341120689034663E+001 
1.503000000000000E+009 -5.887632698735312E+001 4.238974112312576E+001 
1.503375000000000E+009 -5.881632891398250E+001 4.254379330329675E+001 
1.503750000000000E+009 -5.882172005844085E+001 4.181571466233471E+001 
1.504125000000000E+009 -5.870100809217276E+001 4.135523715923166E+001 
1.504500000000000E+009 -5.834963283315499E+001 4.076374749992058E+001 
1.504875000000000E+009 -5.841504669341948E+001 4.148010297815900E+001 
1.505250000000000E+009 -5.815418668818777E+001 3.953855571263192E+001 
1.505625000000000E+009 -5.833684852813278E+001 3.859962874368051E+001 
1.506000000000000E+009 -5.817982804297520E+001 3.912953261430292E+001 
1.506375000000000E+009 -5.811766071138851E+001 3.816656335308446E+001 
1.506750000000000E+009 -5.783482566641968E+001 3.805468393885315E+001 
1.507125000000000E+009 -5.810019882633578E+001 3.820673924605848E+001 
1.507500000000000E+009 -5.788323550957602E+001 3.676641475584164E+001 
1.507875000000000E+009 -5.777864452717578E+001 3.584747194919311E+001 
1.508250000000000E+009 -5.763291966968496E+001 3.702800722679559E+001 
1.508625000000000E+009 -5.747889558125151E+001 3.649763359601873E+001 
1.509000000000000E+009 -5.771299426770387E+001 3.726706535656898E+001 
1.509375000000000E+009 -5.726559915719122E+001 3.541974282102092E+001 
1.509750000000000E+009 -5.749205896310306E+001 3.615798284256565E+001 
1.510125000000000E+009 -5.766766864445726E+001 3.511843270558585E+001 
1.510500000000000E+009 -5.727066009318061E+001 3.408290006016166E+001 
1.510875000000000E+009 -5.735901465373141E+001 3.366564891138813E+001 
1.511250000000000E+009 -5.728708244828169E+001 3.512943539552145E+001 
1.511625000000000E+009 -5.721699199982578E+001 3.397684019721514E+001 
1.512000000000000E+009 -5.712390540647512E+001 3.337134566402700E+001 
1.512375000000000E+009 -5.727528602895058E+001 3.234053392229317E+001 
1.512750000000000E+009 -5.700244833558980E+001 3.216834416809340E+001 
1.513125000000000E+009 -5.667889350076494E+001 3.272814834755471E+001 
1.513500000000000E+009 -5.674534419350525E+001 3.048332349516400E+001 
1.513875000000000E+009 -5.709370508847751E+001 3.123457380806807E+001 
1.514250000000000E+009 -5.660033618603034E+001 3.168924328930109E+001 
1.514625000000000E+009 -5.673634452434046E+001 3.082753956793779E+001 
1.515000000000000E+009 -5.655285455402179E+001 3.158337130336665E+001 
1.515375000000000E+009 -5.661544098139420E+001 3.187477445609923E+001 
1.515750000000000E+009 -5.652178466904955E+001 3.103335715936769E+001 
1.516125000000000E+009 -5.648759909886152E+001 2.818776690997187E+001 
1.516500000000000E+009 -5.655446758674120E+001 2.833866698941532E+001 
1.516875000000000E+009 -5.606466601106033E+001 2.918938199554397E+001 
1.517250000000000E+009 -5.584172030680871E+001 2.760396982652843E+001 
1.517625000000000E+009 -5.614907612019749E+001 2.753054327647236E+001 
1.518000000000000E+009 -5.617019698120468E+001 2.738620929036532E+001 
1.518375000000000E+009 -5.606371265799144E+001 2.863201655826517E+001 
1.518750000000000E+009 -5.576874426284572E+001 2.694459256308863E+001 
1.519125000000000E+009 -5.577154962752465E+001 2.730536880734116E+001 
1.519500000000000E+009 -5.575870801521270E+001 2.601420178405060E+001 
1.519875000000000E+009 -5.574711930114168E+001 2.484724500036764E+001 
1.520250000000000E+009 -5.586511366474977E+001 2.431123062683755E+001 
1.520625000000000E+009 -5.585021772157328E+001 2.441461139176424E+001 
1.521000000000000E+009 -5.582881398821755E+001 2.516306887488911E+001 
1.521375000000000E+009 -5.544997636505671E+001 2.464411296879381E+001 
1.521750000000000E+009 -5.587531556425230E+001 2.561628775938765E+001 
1.522125000000000E+009 -5.560214951089355E+001 2.515695686123040E+001 
1.522500000000000E+009 -5.520648751693368E+001 2.323465677802004E+001 
1.522875000000000E+009 -5.527143647157618E+001 2.324555050025284E+001 
1.523250000000000E+009 -5.513531450659239E+001 2.239793765494561E+001 
1.523625000000000E+009 -5.502450934516143E+001 2.227982960145337E+001 
1.524000000000000E+009 -5.501054159831428E+001 2.366812531184746E+001 
1.524375000000000E+009 -5.514691410951966E+001 2.088583049925669E+001 
1.524750000000000E+009 -5.528713213403380E+001 2.004637858478242E+001 
1.525125000000000E+009 -5.516638024047917E+001 1.871229524037190E+001 
1.525500000000000E+009 -5.531432555719241E+001 2.033404392892198E+001 
1.525875000000000E+009 -5.485148024616412E+001 2.010515411754872E+001 
1.526250000000000E+009 -5.491055728486379E+001 2.009951103571253E+001 
1.526625000000000E+009 -5.470064714408017E+001 1.896743373412594E+001 
1.527000000000000E+009 -5.454014764113323E+001 2.109993851309619E+001 
1.527375000000000E+009 -5.475925806700320E+001 1.693948088191826E+001 
1.527750000000000E+009 -5.433160920500970E+001 1.726580183665122E+001 
1.528125000000000E+009 -5.431884186300919E+001 1.705912597820058E+001 
1.528500000000000E+009 -5.450825455449785E+001 1.736146657014664E+001 
1.528875000000000E+009 -5.419808541651959E+001 1.768402971646480E+001 
1.529250000000000E+009 -5.441540730535110E+001 1.695430315504942E+001 
1.529625000000000E+009 -5.389526378966232E+001 1.646523012293665E+001 
1.530000000000000E+009 -5.411531922779172E+001 1.714396854359100E+001 
1.530375000000000E+009 -5.414886217733010E+001 1.401325626530073E+001 
1.530750000000000E+009 -5.460478324185056E+001 1.706927726450903E+001 
1.531125000000000E+009 -5.380767130797590E+001 1.508625964687108E+001 
1.531500000000000E+009 -5.391804268346549E+001 1.654176145350895E+001 
1.531875000000000E+009 -5.393592294693041E+001 1.565582603934169E+001 
1.532250000000000E+009 -5.377624483337333E+001 1.341484785636964E+001 
1.532625000000000E+009 -5.358166751383749E+001 1.631584905810480E+001 
1.533000000000000E+009 -5.409792893165400E+001 1.321355130051259E+001 
1.533375000000000E+009 -5.365360173140124E+001 1.289971049864073E+001 
1.533750000000000E+009 -5.369985023178330E+001 1.264903999194791E+001 
1.534125000000000E+009 -5.329005096353518E+001 1.200096963578927E+001 
1.534500000000000E+009 -5.363941407559280E+001 1.196319780450694E+001 
1.534875000000000E+009 -5.337595596899937E+001 1.258326001602401E+001 
1.535250000000000E+009 -5.355883544476251E+001 1.093583732839141E+001 
1.535625000000000E+009 -5.321777892342984E+001 1.285172882009066E+001 
1.536000000000000E+009 -5.331126391947662E+001 1.052152674786125E+001 
1.536375000000000E+009 -5.318555630624066E+001 9.737835430190534E+000 
1.536750000000000E+009 -5.290428325250213E+001 1.094145171378808E+001 
1.537125000000000E+009 -5.304270165295058E+001 1.069179521451245E+001 
1.537500000000000E+009 -5.309279438108656E+001 8.736016286537501E+000 
1.537875000000000E+009 -5.296629450193080E+001 9.867726321428828E+000 
1.538250000000000E+009 -5.289047968418676E+001 9.395473402298924E+000 
1.538625000000000E+009 -5.277581817814325E+001 7.993673189912926E+000 
1.539000000000000E+009 -5.289939213418018E+001 7.875211456462037E+000 
