# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.927712262544796E+001 4.561558767006964E+001 
1.500375000000000E+009 -5.925042449081546E+001 4.286508252880329E+001 
1.500750000000000E+009 -5.893205495146857E+001 4.418864968514262E+001 
1.501125000000000E+009 -5.913642437451966E+001 4.283678216812981E+001 
1.501500000000000E+009 -5.897251780848001E+001 4.335789733774856E+001 
1.501875000000000E+009 -5.883780663785150E+001 4.310777519860866E+001 
1.502250000000000E+009 -5.878529981592061E+001 4.266318090894989E+001 
1.502625000000000E+009 -5.879164355183261E+001 4.253522727226089E+001 
1.503000000000000E+009 -5.875557705847128E+001 4.133622664593818E+001 
1.503375000000000E+009 -5.891274950905733E+001 4.029000171330748E+001 
1.503750000000000E+009 -5.854731177017921E+001 4.117581224328679E+001 
1.504125000000000E+009 -5.892360325412195E+001 4.076913534305708E+001 
1.504500000000000E+009 -5.845303530817486E+001 3.979823629106456E+001 
1.504875000000000E+009 -5.854717195908792E+001 4.083899697615382E+001 
1.505250000000000E+009 -5.849269715416460E+001 3.956948150516233E+001 
1.505625000000000E+009 -5.840412519897385E+001 3.729849342953985E+001 
1.506000000000000E+009 -5.834759327605283E+001 3.990536725530257E+001 
1.506375000000000E+009 -5.813118356771338E+001 3.765024579962858E+001 
1.506750000000000E+009 -5.805952551983439E+001 3.909934508182958E+001 
1.507125000000000E+009 -5.825608901890867E+001 3.904702043296059E+001 
1.507500000000000E+009 -5.773502745403769E+001 3.758767450258198E+001 
1.507875000000000E+009 -5.798599777183754E+001 3.735957806979135E+001 
1.508250000000000E+009 -5.783130863771499E+001 3.695457080806041E+001 
1.508625000000000E+009 -5.764585443244514E+001 3.841383904949368E+001 
1.509000000000000E+009 -5.773434458343589E+001 3.601068874875860E+001 
1.509375000000000E+009 -5.753032780899140E+001 3.762510200120973E+001 
1.509750000000000E+009 -5.761487997135648E+001 3.627583456224320E+001 
1.510125000000000E+009 -5.735644541562086E+001 3.464564672553694E+001 
1.510500000000000E+009 -5.733437110754560E+001 3.407921472488634E+001 
1.510875000000000E+009 -5.748307987766656E+001 3.425099681111763E+001 
1.511250000000000E+009 -5.734608441302450E+001 3.333163721503377E+001 
1.511625000000000E+009 -5.720331827722082E+001 3.313223140207297E+001 
1.512000000000000E+009 -5.731072198291293E+001 3.272387097904996E+001 
1.512375000000000E+009 -5.710402895183881E+001 3.277817403288707E+001 
1.512750000000000E+009 -5.708802067352001E+001 3.292314975180003E+001 
1.513125000000000E+009 -5.699293586314052E+001 3.200165545748087E+001 
1.513500000000000E+009 -5.700900622654413E+001 3.104015072629085E+001 
1.513875000000000E+009 -5.682609062348964E+001 3.206664525643551E+001 
1.514250000000000E+009 -5.681276902357258E+001 3.091937970974059E+001 
1.514625000000000E+009 -5.667626870172158E+001 3.118083642930703E+001 
1.515000000000000E+009 -5.675657735044318E+001 3.113593278253442E+001 
1.515375000000000E+009 -5.652907315293177E+001 2.933728953754249E+001 
1.515750000000000E+009 -5.649951099519607E+001 2.907638264154292E+001 
1.516125000000000E+009 -5.631792729732540E+001 3.007381158768805E+001 
1.516500000000000E+009 -5.625114941860313E+001 2.876668645734021E+001 
1.516875000000000E+009 -5.611073223169711E+001 2.829847278728727E+001 
1.517250000000000E+009 -5.656289460036282E+001 2.686405269641950E+001 
1.517625000000000E+009 -5.636074515028821E+001 2.658956881031844E+001 
1.518000000000000E+009 -5.625489921694206E+001 2.669561908275878E+001 
1.518375000000000E+009 -5.580836290989946E+001 2.606322074993240E+001 
1.518750000000000E+009 -5.619997575408029E+001 2.543547713187278E+001 
1.519125000000000E+009 -5.598892023100284E+001 2.735591865682654E+001 
1.519500000000000E+009 -5.594922311555515E+001 2.693913071606716E+001 
1.519875000000000E+009 -5.580896441042374E+001 2.554810417727762E+001 
1.520250000000000E+009 -5.578523364309343E+001 2.427166096508442E+001 
1.520625000000000E+009 -5.564161227689628E+001 2.371165319318330E+001 
1.521000000000000E+009 -5.566430559085789E+001 2.353554840774497E+001 
1.521375000000000E+009 -5.560618830207228E+001 2.538827887308869E+001 
1.521750000000000E+009 -5.523394281458094E+001 2.363519544012717E+001 
1.522125000000000E+009 -5.561974710339685E+001 2.353422185787772E+001 
1.522500000000000E+009 -5.524310800183714E+001 2.378980522310239E+001 
1.522875000000000E+009 -5.543999367141669E+001 2.052700902782982E+001 
1.523250000000000E+009 -5.525468244577874E+001 2.138200469028129E+001 
1.523625000000000E+009 -5.522788608828087E+001 2.236570490380627E+001 
1.524000000000000E+009 -5.511932461140855E+001 2.170087982258583E+001 
1.524375000000000E+009 -5.526924986163108E+001 2.126389986625345E+001 
1.524750000000000E+009 -5.518199269274061E+001 2.288464803199558E+001 
1.525125000000000E+009 -5.515141572005571E+001 2.099502530341465E+001 
1.525500000000000E+009 -5.512848447934864E+001 1.971302475326314E+001 
1.525875000000000E+009 -5.474251717344679E+001 1.934490653610584E+001 
1.526250000000000E+009 -5.464164253479477E+001 1.823552641654024E+001 
1.526625000000000E+009 -5.489860258818283E+001 1.827579843400429E+001 
1.527000000000000E+009 -5.466166122267025E+001 1.720579387993620E+001 
1.527375000000000E+009 -5.466149657760458E+001 1.963405345180213E+001 
1.527750000000000E+009 -5.440764455861726E+001 1.885252122326897E+001 
1.528125000000000E+009 -5.435551567834175E+001 1.734414908249728E+001 
1.528500000000000E+009 -5.425230721162262E+001 1.880405320989754E+001 
1.528875000000000E+009 -5.423204609691690E+001 1.890532436754462E+001 
1.529250000000000E+009 -5.450157377731062E+001 1.744617407004327E+001 
1.529625000000000E+009 -5.426776742689673E+001 1.701274576788808E+001 
1.530000000000000E+009 -5.428959113305519E+001 1.571345753819636E+001 
1.530375000000000E+009 -5.432135858514192E+001 1.542801835900668E+001 
1.530750000000000E+009 -5.426796471576378E+001 1.383733899042965E+001 
1.531125000000000E+009 -5.414611472009769E+001 1.461244117044400E+001 
1.531500000000000E+009 -5.389692166655954E+001 1.409569364437154E+001 
1.531875000000000E+009 -5.400475921396240E+001 1.455023456757301E+001 
1.532250000000000E+009 -5.405730104148694E+001 1.244720460507926E+001 
1.532625000000000E+009 -5.393075692270657E+001 1.244646863681042E+001 
1.533000000000000E+009 -5.362166747433682E+001 1.447442141798646E+001 
1.533375000000000E+009 -5.377526972114222E+001 1.490676104753356E+001 
1.533750000000000E+009 -5.380323723412628E+001 1.147106531041535E+001 
1.534125000000000E+009 -5.359899799281612E+001 1.369336370716032E+001 
1.534500000000000E+009 -5.336780417253302E+001 1.218796756443808E+001 
1.534875000000000E+009 -5.350810023363174E+001 1.240763567847147E+001 
1.535250000000000E+009 -5.354536558683648E+001 1.110121583673836E+001 
1.535625000000000E+009 -5.364878347394694E+001 1.028448618123934E+001 
1.536000000000000E+009 -5.327592813593425E+001 1.096643346979727E+001 
1.536375000000000E+009 -5.328012628522391E+001 1.090802222667484E+001 
1.536750000000000E+009 -5.334558147958811E+001 9.295005912321123E+000 
1.537125000000000E+009 -5.305240767013148E+001 1.043631961854374E+001 
1.537500000000000E+009 -5.289638971893353E+001 7.882094354698885E+000 
1.537875000000000E+009 -5.309199490731295E+001 1.035560170158785E+001 
1.538250000000000E+009 -5.298847241947721E+001 7.921703816331376E+000 
1.538625000000000E+009 -5.290383475089032E+001 8.003571786564239E+000 
1.539000000000000E+009 -5.276661372633053E+001 7.214449813914082E+000 
1.539375000000000E+009 -5.284583222151442E+001 8.224368218340878E+000 
1.539750000000000E+009 -5.286331490316796E+001 8.354639513355167E+000 
1.540125000000000E+009 -5.254858073140967E+001 6.449505829857245E+000 
1.540500000000000E+009 -5.262921842243529E+001 8.335002170368520E+000 
1.540875000000000E+009 -5.263904570588374E+001 4.448296036449516E+000 
1.541250000000000E+009 -5.224821624178310E+001 7.427962574858368E+000 
1.541625000000000E+009 -5.250760035353034E+001 4.969214446945022E+000 
1.542000000000000E+009 -5.242759427773200E+001 5.403083200861192E+000 
1.542375000000000E+009 -5.240149768665101E+001 4.722478839246124E+000 
1.542750000000000E+009 -5.234326939737264E+001 3.503629527733928E+000 
1.543125000000000E+009 -5.215708833264164E+001 3.971139373553616E+000 
1.543500000000000E+009 -5.212341347775666E+001 5.072279148641909E+000 
1.543875000000000E+009 -5.204852363707771E+001 2.378640620710758E+000 
1.544250000000000E+009 -5.185828019757810E+001 2.256266775040631E+000 
1.544625000000000E+009 -5.198652116520024E+001 2.904237471615417E+000 
1.545000000000000E+009 -5.209246470661267E+001 2.349568108674704E+000 
1.545375000000000E+009 -5.180532964347444E+001 3.436104779208519E+000 
1.545750000000000E+009 -5.177192214616152E+001 2.584868460151148E+000 
1.546125000000000E+009 -5.166702447243026E+001 1.332764833497345E+000 
1.546500000000000E+009 -5.164807666362695E+001 2.535745639970388E+000 
1.546875000000000E+009 -5.178413374327686E+001 9.774519381710523E-001 
1.547250000000000E+009 -5.144947163186910E+001 1.255589024955964E+000 
1.547625000000000E+009 -5.130105297759864E+001 6.176939899287195E-001 
1.548000000000000E+009 -5.135863590124223E+001 -1.174830346468399E-001 
1.548375000000000E+009 -5.135499755567414E+001 -1.143414944648657E+000 
1.548750000000000E+009 -5.132556192751682E+001 -8.927040496527541E-001 
1.549125000000000E+009 -5.112598586868763E+001 -1.073486456304703E+000 
1.549500000000000E+009 -5.113469287848808E+001 -1.130503273472821E+000 
1.549875000000000E+009 -5.092831652392648E+001 -2.177190516644553E+000 
1.550250000000000E+009 -5.104847177989590E+001 -2.266235537624115E+000 
