# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.428742056411112E-001 4.979638023333980E+001 
2.235007500000000E+009 -3.502669049848036E-001 4.979885636921434E+001 
2.235015000000000E+009 -3.509216533220005E-001 4.977215051496182E+001 
2.235022500000000E+009 -3.516677547130285E-001 4.976515385432840E+001 
2.235030000000000E+009 -3.499383799124058E-001 4.975783954746243E+001 
2.235037500000000E+009 -3.514484336646063E-001 4.973010448118624E+001 
2.235045000000000E+009 -3.524579197246567E-001 4.974517334689750E+001 
2.235052500000000E+009 -3.515033751391484E-001 4.972138340344878E+001 
2.235060000000000E+009 -3.516199884935455E-001 4.970161942486887E+001 
2.235067500000000E+009 -3.504462615597633E-001 4.972855390446534E+001 
2.235075000000000E+009 -3.513483928550836E-001 4.970400686517814E+001 
2.235082500000000E+009 -3.516672480681681E-001 4.969320310742295E+001 
2.235090000000000E+009 -3.528627312819487E-001 4.968427208552532E+001 
2.235097500000000E+009 -3.542577740197305E-001 4.966389391566855E+001 
2.235105000000000E+009 -3.522391064178592E-001 4.968205694492855E+001 
2.235112500000000E+009 -3.541745631093056E-001 4.963687232371977E+001 
2.235120000000000E+009 -3.523757972555707E-001 4.962432501542698E+001 
2.235127500000000E+009 -3.518380981266858E-001 4.963822354595757E+001 
2.235135000000000E+009 -3.534359032017915E-001 4.960793900281853E+001 
2.235142500000000E+009 -3.532657320568634E-001 4.960613893873115E+001 
2.235150000000000E+009 -3.532710628999092E-001 4.959399170815150E+001 
2.235157500000000E+009 -3.529320695249171E-001 4.957353257904579E+001 
2.235165000000000E+009 -3.533314506966243E-001 4.957455482797192E+001 
2.235172500000000E+009 -3.534166050775263E-001 4.956961786748297E+001 
2.235180000000000E+009 -3.524474867487548E-001 4.955381192305169E+001 
2.235187500000000E+009 -3.535512943723124E-001 4.956156588025261E+001 
2.235195000000000E+009 -3.534925767334195E-001 4.954373753167868E+001 
2.235202500000000E+009 -3.549031514718512E-001 4.952006565234453E+001 
2.235210000000000E+009 -3.523677651032490E-001 4.952109728465611E+001 
2.235217500000000E+009 -3.519510202017440E-001 4.952003588490545E+001 
2.235225000000000E+009 -3.535210927110118E-001 4.949427655403979E+001 
2.235232500000000E+009 -3.550239277972653E-001 4.949507597077152E+001 
2.235240000000000E+009 -3.540578655980859E-001 4.949205703811811E+001 
2.235247500000000E+009 -3.516390314422903E-001 4.947741705321351E+001 
2.235255000000000E+009 -3.546660746824065E-001 4.946413893689871E+001 
2.235262500000000E+009 -3.538497002204230E-001 4.945232188621745E+001 
2.235270000000000E+009 -3.547316144582136E-001 4.945428527124966E+001 
2.235277500000000E+009 -3.530152556738988E-001 4.944297419758481E+001 
2.235285000000000E+009 -3.546297334585845E-001 4.941570962189698E+001 
2.235292500000000E+009 -3.549856494979602E-001 4.941702225848572E+001 
2.235300000000000E+009 -3.525832818648305E-001 4.941615252401633E+001 
2.235307500000000E+009 -3.542046747370701E-001 4.939113968137897E+001 
2.235315000000000E+009 -3.530287774075674E-001 4.939382890579583E+001 
2.235322500000000E+009 -3.535409198567323E-001 4.936732236361728E+001 
2.235330000000000E+009 -3.555220213088394E-001 4.937569173502647E+001 
2.235337500000000E+009 -3.539283237858446E-001 4.936891003765836E+001 
2.235345000000000E+009 -3.566898212004398E-001 4.934593720319264E+001 
2.235352500000000E+009 -3.535540064480399E-001 4.934086115427093E+001 
2.235360000000000E+009 -3.542279223001193E-001 4.933039827523677E+001 
2.235367500000000E+009 -3.537151214260798E-001 4.932600459269360E+001 
2.235375000000000E+009 -3.533888017015553E-001 4.932652241826468E+001 
2.235382500000000E+009 -3.523161036337030E-001 4.929398243472581E+001 
2.235390000000000E+009 -3.549159287507167E-001 4.930321607830716E+001 
2.235397500000000E+009 -3.537357380091536E-001 4.928396960595697E+001 
2.235405000000000E+009 -3.544530360573250E-001 4.928493472934353E+001 
2.235412500000000E+009 -3.545934641452464E-001 4.925564130922545E+001 
2.235420000000000E+009 -3.540837901823121E-001 4.924369707458589E+001 
2.235427500000000E+009 -3.525374622321463E-001 4.924505958051168E+001 
2.235435000000000E+009 -3.549298134895491E-001 4.922952551626623E+001 
2.235442500000000E+009 -3.548797903298227E-001 4.922806628541055E+001 
2.235450000000000E+009 -3.546086206379432E-001 4.920388434641197E+001 
2.235457500000000E+009 -3.545758310448878E-001 4.920377272018259E+001 
2.235465000000000E+009 -3.536081016357299E-001 4.920062689286954E+001 
2.235472500000000E+009 -3.543220719257683E-001 4.918775830083833E+001 
2.235480000000000E+009 -3.539029738220663E-001 4.915958269844843E+001 
2.235487500000000E+009 -3.532358598868122E-001 4.916473345505228E+001 
2.235495000000000E+009 -3.527386001882717E-001 4.915131503736204E+001 
2.235502500000000E+009 -3.534403764959894E-001 4.914436294159240E+001 
2.235510000000000E+009 -3.539572455553737E-001 4.913418076948130E+001 
2.235517500000000E+009 -3.542703517861257E-001 4.911411357763800E+001 
2.235525000000000E+009 -3.538041368852307E-001 4.911483292971729E+001 
2.235532500000000E+009 -3.547649185770002E-001 4.909889761162194E+001 
2.235540000000000E+009 -3.533366204395521E-001 4.909497285526360E+001 
2.235547500000000E+009 -3.526165374804910E-001 4.908176031924983E+001 
2.235555000000000E+009 -3.538492797411023E-001 4.907477780938318E+001 
2.235562500000000E+009 -3.541608937406220E-001 4.907088642197600E+001 
