# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.155746143447850E-001 4.994916658950219E+001 
2.235007500000000E+009 -3.229312336091834E-001 4.992062608373304E+001 
2.235015000000000E+009 -3.216352764416638E-001 4.990409105928963E+001 
2.235022500000000E+009 -3.222972463201540E-001 4.990408456469960E+001 
2.235030000000000E+009 -3.241429412236340E-001 4.989281255692775E+001 
2.235037500000000E+009 -3.226393790081886E-001 4.988135034024607E+001 
2.235045000000000E+009 -3.235025521179932E-001 4.987534621994118E+001 
2.235052500000000E+009 -3.234753793538721E-001 4.986371298478886E+001 
2.235060000000000E+009 -3.229660422705126E-001 4.984921451841885E+001 
2.235067500000000E+009 -3.250527087599420E-001 4.983774747205956E+001 
2.235075000000000E+009 -3.233680941860054E-001 4.983306961408787E+001 
2.235082500000000E+009 -3.235308696067062E-001 4.984364430580172E+001 
2.235090000000000E+009 -3.254952807151123E-001 4.982001526676993E+001 
2.235097500000000E+009 -3.243924976673543E-001 4.980354884934284E+001 
2.235105000000000E+009 -3.239787067868717E-001 4.978463971790387E+001 
2.235112500000000E+009 -3.241474165697525E-001 4.978183203693576E+001 
2.235120000000000E+009 -3.258288651271993E-001 4.978068670310674E+001 
2.235127500000000E+009 -3.257746443388383E-001 4.974776555516588E+001 
2.235135000000000E+009 -3.255814177815607E-001 4.975006936930438E+001 
2.235142500000000E+009 -3.258855752847789E-001 4.974962679652369E+001 
2.235150000000000E+009 -3.249099775921102E-001 4.973663968848942E+001 
2.235157500000000E+009 -3.264082675570194E-001 4.972179613698723E+001 
2.235165000000000E+009 -3.242434853620663E-001 4.974016005624593E+001 
2.235172500000000E+009 -3.255435936847716E-001 4.971086226931590E+001 
2.235180000000000E+009 -3.252484051033127E-001 4.968820965500232E+001 
2.235187500000000E+009 -3.254202483193189E-001 4.969305668320222E+001 
2.235195000000000E+009 -3.252757279888556E-001 4.969373805026088E+001 
2.235202500000000E+009 -3.265922190069769E-001 4.966240671705590E+001 
2.235210000000000E+009 -3.262272649743245E-001 4.966509784273496E+001 
2.235217500000000E+009 -3.247434681820499E-001 4.965064192053728E+001 
2.235225000000000E+009 -3.232329989716883E-001 4.966193393175085E+001 
2.235232500000000E+009 -3.266801234057335E-001 4.962385637290493E+001 
2.235240000000000E+009 -3.261047159113443E-001 4.962247576094797E+001 
2.235247500000000E+009 -3.247183954925202E-001 4.961109250566116E+001 
2.235255000000000E+009 -3.257043536539345E-001 4.961680498970898E+001 
2.235262500000000E+009 -3.264189268220407E-001 4.959952109030998E+001 
2.235270000000000E+009 -3.257251247872377E-001 4.960554054801170E+001 
2.235277500000000E+009 -3.253746346466201E-001 4.958163554845471E+001 
2.235285000000000E+009 -3.236060368257308E-001 4.957371492920279E+001 
2.235292500000000E+009 -3.260570251097790E-001 4.955977746443126E+001 
2.235300000000000E+009 -3.253282090407171E-001 4.956480476537757E+001 
2.235307500000000E+009 -3.260047851662397E-001 4.954322091691869E+001 
2.235315000000000E+009 -3.244683937661539E-001 4.952884583683847E+001 
2.235322500000000E+009 -3.250479482683825E-001 4.952473742744972E+001 
2.235330000000000E+009 -3.275172424171310E-001 4.951773010698891E+001 
2.235337500000000E+009 -3.280224507079101E-001 4.950465302582556E+001 
2.235345000000000E+009 -3.256688365633649E-001 4.949350158510918E+001 
2.235352500000000E+009 -3.256636141867678E-001 4.947482340242942E+001 
2.235360000000000E+009 -3.274515441243842E-001 4.946598758259653E+001 
2.235367500000000E+009 -3.268671138863953E-001 4.945549770330347E+001 
2.235375000000000E+009 -3.259933395308884E-001 4.945714120035883E+001 
2.235382500000000E+009 -3.260152017061319E-001 4.944866602828656E+001 
2.235390000000000E+009 -3.268576421012821E-001 4.943595084288274E+001 
2.235397500000000E+009 -3.263090896045648E-001 4.942883083068394E+001 
2.235405000000000E+009 -3.266353914677806E-001 4.942121298474265E+001 
2.235412500000000E+009 -3.269339371211595E-001 4.940602457232919E+001 
2.235420000000000E+009 -3.268699035078762E-001 4.939301056441600E+001 
2.235427500000000E+009 -3.276831036354778E-001 4.937797593212058E+001 
2.235435000000000E+009 -3.267069386403729E-001 4.937681304062982E+001 
2.235442500000000E+009 -3.244042866627359E-001 4.936324204727430E+001 
2.235450000000000E+009 -3.264366675260004E-001 4.933846561115593E+001 
2.235457500000000E+009 -3.258876358081119E-001 4.934979130596697E+001 
2.235465000000000E+009 -3.265119988579712E-001 4.933499189889058E+001 
2.235472500000000E+009 -3.247372187990700E-001 4.932366752482571E+001 
