No	Time	DC/AC	Value	Unit	AUTO
145	17:58:51	DC	-021,0	uA	pass
146	17:58:52	DC	-020,7	uA	pass
147	17:58:52	DC	-020,5	uA	pass
148	17:58:53	DC	-020,4	uA	pass
149	17:58:53	DC	-020,1	uA	pass
150	17:58:54	DC	-019,8	uA	pass
151	17:58:55	DC	-019,7	uA	pass
152	17:58:55	DC	-019,4	uA	pass
153	17:58:56	DC	-019,1	uA	pass
154	17:58:56	DC	-019,0	uA	pass
155	17:58:57	DC	-018,7	uA	pass
156	17:58:58	DC	-018,5	uA	pass
157	17:58:58	DC	-018,3	uA	pass
158	17:58:59	DC	-018,0	uA	pass
159	17:58:59	DC	-017,8	uA	pass
160	17:59:00	DC	-017,6	uA	pass
161	17:59:00	DC	-017,4	uA	pass
162	17:59:01	DC	-017,1	uA	pass
163	17:59:02	DC	-016,9	uA	pass
164	17:59:02	DC	-016,6	uA	pass
165	17:59:03	DC	-016,4	uA	pass
166	17:59:03	DC	-016,3	uA	pass
167	17:59:04	DC	-016,1	uA	pass
168	17:59:05	DC	-015,8	uA	pass
169	17:59:05	DC	-015,7	uA	pass
170	17:59:06	DC	-015,5	uA	pass
171	17:59:06	DC	-015,2	uA	pass
172	17:59:07	DC	-015,1	uA	pass
173	17:59:07	DC	-014,9	uA	pass
174	17:59:08	DC	-014,6	uA	pass
175	17:59:09	DC	-014,5	uA	pass
176	17:59:09	DC	-014,2	uA	pass
177	17:59:10	DC	-013,9	uA	pass
178	17:59:10	DC	-013,8	uA	pass
179	17:59:11	DC	-013,5	uA	pass
180	17:59:12	DC	-013,3	uA	pass
181	17:59:12	DC	-013,2	uA	pass
182	17:59:13	DC	-013,0	uA	pass
183	17:59:13	DC	-012,7	uA	pass
184	17:59:14	DC	-012,6	uA	pass
185	17:59:14	DC	-012,4	uA	pass
186	17:59:15	DC	-012,1	uA	pass
187	17:59:16	DC	-011,9	uA	pass
188	17:59:16	DC	-011,7	uA	pass
189	17:59:17	DC	-011,5	uA	pass
190	17:59:17	DC	-011,3	uA	pass
191	17:59:18	DC	-011,0	uA	pass
192	17:59:19	DC	-010,8	uA	pass
193	17:59:19	DC	-010,6	uA	pass
194	17:59:20	DC	-010,5	uA	pass
195	17:59:20	DC	-010,2	uA	pass
196	17:59:21	DC	-010,0	uA	pass
197	17:59:21	DC	-009,9	uA	pass
198	17:59:22	DC	-009,7	uA	pass
199	17:59:23	DC	-009,4	uA	pass
200	17:59:23	DC	-009,3	uA	pass
201	17:59:24	DC	-009,0	uA	pass
202	17:59:24	DC	-008,8	uA	pass
203	17:59:25	DC	-008,7	uA	pass
204	17:59:26	DC	-008,5	uA	pass
205	17:59:26	DC	-008,2	uA	pass
206	17:59:27	DC	-008,0	uA	pass
207	17:59:27	DC	-007,8	uA	pass
208	17:59:28	DC	-007,5	uA	pass
209	17:59:29	DC	-007,4	uA	pass
210	17:59:29	DC	-007,1	uA	pass
211	17:59:30	DC	-007,0	uA	pass
212	17:59:30	DC	-006,8	uA	pass
213	17:59:31	DC	-006,6	uA	pass
214	17:59:31	DC	-006,4	uA	pass
215	17:59:32	DC	-006,3	uA	pass
216	17:59:33	DC	-006,1	uA	pass
217	17:59:33	DC	-005,9	uA	pass
218	17:59:34	DC	-005,7	uA	pass
219	17:59:34	DC	-005,5	uA	pass
220	17:59:35	DC	-005,2	uA	pass
221	17:59:35	DC	-005,1	uA	pass
222	17:59:36	DC	-004,9	uA	pass
223	17:59:37	DC	-004,7	uA	pass
224	17:59:37	DC	-004,5	uA	pass
225	17:59:38	DC	-004,3	uA	pass
226	17:59:38	DC	-004,1	uA	pass
227	17:59:39	DC	-004,0	uA	pass
228	17:59:40	DC	-003,8	uA	pass
229	17:59:40	DC	-003,6	uA	pass
230	17:59:41	DC	-003,4	uA	pass
231	17:59:41	DC	-003,2	uA	pass
232	17:59:42	DC	-003,0	uA	pass
233	17:59:42	DC	-002,9	uA	pass
234	17:59:43	DC	-002,6	uA	pass
235	17:59:43	DC	-002,5	uA	pass
236	17:59:44	DC	-002,3	uA	pass
237	17:59:45	DC	-002,1	uA	pass
238	17:59:45	DC	-001,9	uA	pass
239	17:59:46	DC	-001,8	uA	pass
240	17:59:47	DC	-001,6	uA	pass
241	17:59:47	DC	-001,5	uA	pass
242	17:59:48	DC	-001,2	uA	pass
243	17:59:48	DC	-001,0	uA	pass
244	17:59:49	DC	-000,8	uA	pass
245	17:59:49	DC	-000,7	uA	pass
246	17:59:50	DC	-000,5	uA	pass
247	17:59:51	DC	-000,3	uA	pass
248	17:59:51	DC	-000,1	uA	pass
249	17:59:52	DC	000,0	uA	pass
250	17:59:52	DC	000,1	uA	pass
251	17:59:53	DC	000,2	uA	pass
252	17:59:53	DC	000,4	uA	pass
253	17:59:54	DC	000,6	uA	pass
254	17:59:55	DC	000,7	uA	pass
255	17:59:55	DC	000,9	uA	pass
256	17:59:56	DC	001,1	uA	pass
257	17:59:56	DC	001,3	uA	pass
258	17:59:57	DC	001,5	uA	pass
259	17:59:58	DC	001,7	uA	pass
260	17:59:58	DC	001,8	uA	pass
261	17:59:59	DC	002,0	uA	pass
262	17:59:59	DC	002,2	uA	pass
263	18:00:00	DC	002,4	uA	pass
264	18:00:01	DC	002,6	uA	pass
265	18:00:01	DC	002,8	uA	pass
266	18:00:02	DC	002,9	uA	pass
267	18:00:02	DC	003,1	uA	pass
268	18:00:03	DC	003,3	uA	pass
269	18:00:03	DC	003,5	uA	pass
270	18:00:04	DC	003,6	uA	pass
271	18:00:05	DC	003,8	uA	pass
272	18:00:05	DC	004,0	uA	pass
273	18:00:06	DC	004,1	uA	pass
274	18:00:06	DC	004,4	uA	pass
275	18:00:07	DC	004,6	uA	pass
276	18:00:07	DC	004,7	uA	pass
277	18:00:08	DC	004,9	uA	pass
278	18:00:09	DC	005,1	uA	pass
279	18:00:09	DC	005,1	uA	pass
280	18:00:10	DC	005,4	uA	pass
281	18:00:10	DC	005,6	uA	pass
282	18:00:11	DC	005,7	uA	pass
283	18:00:11	DC	005,8	uA	pass
284	18:00:12	DC	006,1	uA	pass
285	18:00:13	DC	006,2	uA	pass
286	18:00:13	DC	006,4	uA	pass
287	18:00:14	DC	006,6	uA	pass
288	18:00:14	DC	006,7	uA	pass
289	18:00:15	DC	006,8	uA	pass
290	18:00:16	DC	007,0	uA	pass
291	18:00:16	DC	007,1	uA	pass
292	18:00:17	DC	007,4	uA	pass
293	18:00:17	DC	007,6	uA	pass
294	18:00:18	DC	007,7	uA	pass
295	18:00:19	DC	007,9	uA	pass
296	18:00:19	DC	008,0	uA	pass
297	18:00:20	DC	008,1	uA	pass
298	18:00:20	DC	008,3	uA	pass
299	18:00:21	DC	008,5	uA	pass
300	18:00:21	DC	008,6	uA	pass
301	18:00:22	DC	008,8	uA	pass
302	18:00:23	DC	008,9	uA	pass
303	18:00:23	DC	009,0	uA	pass
304	18:00:24	DC	009,2	uA	pass
305	18:00:24	DC	009,3	uA	pass
306	18:00:25	DC	009,4	uA	pass
307	18:00:26	DC	009,5	uA	pass
308	18:00:26	DC	009,6	uA	pass
309	18:00:27	DC	009,7	uA	pass
310	18:00:27	DC	009,9	uA	pass
311	18:00:28	DC	010,1	uA	pass
312	18:00:29	DC	010,3	uA	pass
313	18:00:29	DC	010,3	uA	pass
314	18:00:30	DC	010,5	uA	pass
315	18:00:30	DC	010,6	uA	pass
316	18:00:31	DC	010,7	uA	pass
317	18:00:31	DC	010,8	uA	pass
318	18:00:32	DC	011,0	uA	pass
319	18:00:33	DC	011,0	uA	pass
320	18:00:33	DC	011,2	uA	pass
321	18:00:34	DC	011,3	uA	pass
322	18:00:34	DC	011,4	uA	pass
323	18:00:35	DC	011,5	uA	pass
324	18:00:36	DC	011,7	uA	pass
325	18:00:36	DC	011,7	uA	pass
326	18:00:37	DC	011,8	uA	pass
327	18:00:37	DC	012,0	uA	pass
328	18:00:38	DC	012,0	uA	pass
329	18:00:38	DC	012,2	uA	pass
330	18:00:39	DC	012,3	uA	pass
331	18:00:40	DC	012,4	uA	pass
332	18:00:40	DC	012,5	uA	pass
333	18:00:41	DC	012,6	uA	pass
334	18:00:41	DC	012,7	uA	pass
335	18:00:42	DC	012,8	uA	pass
