No	Time	DC/AC	Value	Unit	AUTO
1	16:18:09	DC	-056,2	V	pass
2	16:18:10	DC	-056,2	V	pass
3	16:18:10	DC	-056,2	V	pass
4	16:18:11	DC	-056,2	V	pass
5	16:18:11	DC	-056,2	V	pass
6	16:18:12	DC	-056,2	V	pass
7	16:18:13	DC	-056,2	V	pass
8	16:18:13	DC	-056,2	V	pass
9	16:18:14	DC	-056,2	V	pass
10	16:18:14	DC	-056,2	V	pass
11	16:18:15	DC	-056,2	V	pass
12	16:18:16	DC	-056,2	V	pass
13	16:18:16	DC	-056,2	V	pass
14	16:18:17	DC	-056,2	V	pass
15	16:18:17	DC	-056,2	V	pass
16	16:18:18	DC	-056,2	V	pass
17	16:18:19	DC	-056,2	V	pass
18	16:18:19	DC	-056,2	V	pass
19	16:18:20	DC	-056,2	V	pass
20	16:18:20	DC	-056,2	V	pass
21	16:18:21	DC	-056,2	V	pass
22	16:18:21	DC	-056,2	V	pass
23	16:18:22	DC	-056,2	V	pass
24	16:18:23	DC	-056,2	V	pass
25	16:18:23	DC	-056,2	V	pass
26	16:18:24	DC	-056,2	V	pass
27	16:18:25	DC	-056,2	V	pass
28	16:18:25	DC	-056,2	V	pass
29	16:18:26	DC	-056,2	V	pass
30	16:18:26	DC	-056,2	V	pass
31	16:18:27	DC	-056,2	V	pass
32	16:18:27	DC	-056,2	V	pass
33	16:18:28	DC	-056,2	V	pass
34	16:18:29	DC	-056,2	V	pass
35	16:18:29	DC	-056,2	V	pass
36	16:18:30	DC	-056,2	V	pass
37	16:18:30	DC	-056,2	V	pass
38	16:18:31	DC	-056,2	V	pass
39	16:18:32	DC	-056,2	V	pass
40	16:18:32	DC	-056,2	V	pass
41	16:18:33	DC	-056,2	V	pass
42	16:18:33	DC	-056,2	V	pass
43	16:18:34	DC	-056,2	V	pass
44	16:18:35	DC	-056,2	V	pass
45	16:18:35	DC	-056,2	V	pass
46	16:18:36	DC	-056,2	V	pass
47	16:18:36	DC	-056,1	V	pass
48	16:18:37	DC	-056,1	V	pass
49	16:18:38	DC	-056,0	V	pass
50	16:18:38	DC	-056,0	V	pass
51	16:18:39	DC	-055,9	V	pass
52	16:18:39	DC	-055,8	V	pass
53	16:18:40	DC	-055,8	V	pass
54	16:18:41	DC	-055,7	V	pass
55	16:18:41	DC	-055,7	V	pass
56	16:18:42	DC	-055,6	V	pass
57	16:18:42	DC	-055,6	V	pass
58	16:18:43	DC	-055,5	V	pass
59	16:18:43	DC	-055,5	V	pass
60	16:18:44	DC	-055,4	V	pass
61	16:18:45	DC	-055,4	V	pass
62	16:18:45	DC	-055,3	V	pass
63	16:18:46	DC	-055,3	V	pass
64	16:18:47	DC	-055,2	V	pass
65	16:18:47	DC	-055,1	V	pass
66	16:18:48	DC	-055,1	V	pass
67	16:18:48	DC	-055,0	V	pass
68	16:18:49	DC	-054,9	V	pass
69	16:18:49	DC	-054,9	V	pass
70	16:18:50	DC	-054,8	V	pass
71	16:18:51	DC	-054,8	V	pass
72	16:18:51	DC	-054,7	V	pass
73	16:18:52	DC	-054,7	V	pass
74	16:18:52	DC	-054,6	V	pass
75	16:18:53	DC	-054,6	V	pass
76	16:18:54	DC	-054,5	V	pass
77	16:18:54	DC	-054,5	V	pass
78	16:18:55	DC	-054,4	V	pass
79	16:18:55	DC	-054,4	V	pass
80	16:18:56	DC	-054,3	V	pass
81	16:18:56	DC	-054,2	V	pass
82	16:18:57	DC	-054,2	V	pass
83	16:18:58	DC	-054,2	V	pass
84	16:18:58	DC	-054,1	V	pass
85	16:18:59	DC	-054,1	V	pass
86	16:18:59	DC	-054,0	V	pass
87	16:19:00	DC	-053,9	V	pass
88	16:19:01	DC	-053,9	V	pass
89	16:19:01	DC	-053,8	V	pass
90	16:19:02	DC	-053,8	V	pass
91	16:19:02	DC	-053,7	V	pass
92	16:19:03	DC	-053,7	V	pass
93	16:19:03	DC	-053,6	V	pass
94	16:19:04	DC	-053,6	V	pass
95	16:19:05	DC	-053,5	V	pass
96	16:19:05	DC	-053,4	V	pass
97	16:19:06	DC	-053,4	V	pass
98	16:19:07	DC	-053,3	V	pass
99	16:19:07	DC	-053,3	V	pass
100	16:19:08	DC	-053,2	V	pass
101	16:19:08	DC	-053,1	V	pass
102	16:19:09	DC	-053,1	V	pass
103	16:19:09	DC	-053,0	V	pass
104	16:19:10	DC	-053,0	V	pass
105	16:19:11	DC	-052,9	V	pass
106	16:19:11	DC	-052,9	V	pass
107	16:19:12	DC	-052,8	V	pass
108	16:19:12	DC	-052,8	V	pass
109	16:19:13	DC	-052,7	V	pass
110	16:19:14	DC	-052,7	V	pass
111	16:19:14	DC	-052,6	V	pass
112	16:19:15	DC	-052,5	V	pass
113	16:19:15	DC	-052,5	V	pass
114	16:19:16	DC	-052,5	V	pass
115	16:19:17	DC	-052,4	V	pass
116	16:19:17	DC	-052,3	V	pass
117	16:19:18	DC	-052,3	V	pass
118	16:19:18	DC	-052,2	V	pass
119	16:19:19	DC	-052,2	V	pass
120	16:19:20	DC	-052,1	V	pass
121	16:19:20	DC	-052,1	V	pass
