-31.9	-258.3
-32.0	-253.3
-32.2	-250.6
-32.2	-246.8
-32.2	-241.8
-32.4	-240.6
-32.4	-235.9
-32.5	-232.8
-32.6	-229.5
-32.7	-227.2
-32.7	-223.7
-32.8	-219.3
-32.9	-218.0
-33.0	-213.4
-33.1	-210.0
-33.2	-206.7
-33.3	-204.7
-33.3	-201.5
-33.4	-196.6
-33.5	-195.5
-33.6	-191.5
-33.7	-188.6
-33.8	-187.2
-33.8	-184.6
-34.0	-183.9
-34.1	-180.1
-34.1	-179.2
-34.2	-175.4
-34.3	-172.3
-34.4	-169.5
-34.5	-167.8
-34.6	-164.4
-34.6	-161.8
-34.7	-160.1
-34.8	-157.8
-34.9	-155.3
-35.0	-152.0
-35.1	-151.1
-35.2	-148.1
-35.2	-145.6
-35.3	-144.0
-35.4	-141.8
-35.5	-138.6
-35.5	-136.3
-35.7	-135.5
-35.8	-132.3
-35.8	-130.0
-35.9	-128.6
-36.0	-126.4
-36.1	-124.3
-36.2	-121.3
-36.3	-120.6
-36.4	-117.7
-36.4	-115.7
-36.5	-113.7
-36.6	-112.3
-36.7	-109.5
-36.8	-107.5
-36.9	-105.7
-37.0	-104.4
-37.1	-102.4
-37.1	-100.7
-37.2	-98.5
-37.3	-97.8
-37.4	-95.3
-37.5	-93.4
-37.6	-92.1
-37.7	-90.2
-37.7	-88.4
-37.8	-87.2
-38.0	-85.4
-38.0	-82.9
-38.1	-80.8
-38.2	-79.7
-38.2	-78.0
-38.4	-75.6
-38.5	-74.9
-38.6	-72.4
-38.7	-70.6
-38.7	-68.9
-38.8	-67.7
-38.9	-65.9
-39.0	-63.5
-39.1	-63.0
-39.2	-60.9
-39.3	-59.4
-39.4	-58.3
-39.5	-56.7
-39.5	-55.2
-39.6	-53.2
-39.7	-52.7
-39.8	-50.5
-39.9	-49.0
-40.0	-48.0
-40.1	-46.6
-40.1	-45.1
-40.2	-43.2
-40.4	-41.8
-40.4	-40.9
-40.5	-39.3
-40.6	-37.4
-40.7	-37.0
-40.8	-35.7
-40.9	-33.7
-41.0	-32.7
-41.1	-31.4
-41.1	-30.1
-41.3	-28.4
-41.4	-28.0
-41.4	-26.2
-41.5	-25.1
-41.6	-24.4
-41.7	-23.3
-41.8	-22.4
-41.9	-21.0
-42.0	-20.3
-42.1	-19.4
-42.1	-18.3
-42.2	-17.6
-42.3	-16.7
-42.4	-15.7
-42.6	-14.5
-42.7	-14.2
-42.7	-13.0
-42.8	-12.2
-42.9	-11.3
-43.0	-10.7
-43.1	-9.8
-43.2	-8.7
-43.3	-8.2
-43.4	-7.3
-43.4	-6.4
-43.5	-5.6
-43.7	-5.1
-43.7	-4.2
-43.8	-3.1
-43.9	-2.8
-44.0	-1.8
-44.1	-1.1
-44.2	-0.4
-44.3	-0.1
-44.4	0.6
-44.5	1.4
-44.5	1.6
-44.6	2.5
-44.8	3.1
-44.8	3.7
-44.9	4.1
-45.0	4.9
-45.1	5.5
-45.2	5.9
-45.3	6.4
-45.4	6.9
-45.5	7.7
-45.6	7.8
-45.7	8.5
-45.7	8.9
-45.8	9.2
-45.9	9.7
-46.0	10.2
-46.1	10.7
-46.3	10.8
-46.3	11.4
-46.4	11.7
-46.5	12.0
-46.6	12.3
-46.7	12.6
-46.8	13.0
-46.8	13.1
-46.9	13.5
-47.1	13.7
-47.1	14.0
-47.2	14.1
-47.3	14.5
-47.4	14.8
-47.5	14.8
-47.6	15.1
-47.7	15.3
-47.8	15.5
-47.9	15.6
-48.0	15.9
-48.0	16.1
-48.2	16.2
-48.2	16.4
-48.3	16.5
-48.4	16.6
-48.5	16.8
-48.6	17.0
-48.8	17.1
-48.8	17.2
-48.9	17.3
-49.0	17.5
-49.1	17.5
-49.2	17.6
-49.3	17.7
-49.3	17.8
-49.4	17.9
-49.6	18.0
-49.6	18.1
-49.7	18.3
-49.8	18.3
-49.8	18.4
-49.9	18.5
-50.1	18.5
-50.2	18.6
-50.2	18.7
-50.4	18.8
-50.5	18.8
-50.5	18.9
-50.6	19.0
-50.7	19.0
-50.8	19.1
-50.9	19.2
-51.0	19.3
-51.1	19.3
-51.2	19.3
-51.3	19.4
-51.4	19.5
-51.5	19.5
-51.5	19.5
-51.7	19.7
-51.8	19.7
-51.8	19.7
-51.9	19.8
-52.0	19.8
-52.1	19.8
-52.2	20.0
-52.3	20.0
-52.4	20.0
-52.5	20.1
-52.5	20.1
-52.7	20.2
-52.7	20.2
-52.8	20.3
-52.9	20.3
-53.0	20.4
-53.1	20.5
-53.2	20.5
-53.3	20.5
-53.4	20.6
-53.5	20.6
-53.6	20.6
-53.7	20.7
-53.8	20.7
-53.9	20.8
-53.9	20.8
-54.1	20.9
-54.2	20.9
-54.2	21.0
-54.3	21.0
-54.4	21.1
-54.5	21.1
-54.6	21.2
-54.7	21.2
-54.8	21.2
-54.8	21.2
-54.9	21.2
-55.1	21.3
-55.2	21.4
-55.3	21.4
-55.4	21.5
-55.4	21.5
-55.5	21.5
-55.6	21.5
-55.7	21.6
-55.8	21.6
-55.9	21.7
-56.0	21.7
-56.1	21.8
-56.2	21.8
