No	Time	DC/AC	Value	Unit	AUTO
1	17:11:33	DC	-040,4	V	pass
2	17:11:34	DC	-040,4	V	pass
3	17:11:34	DC	-040,4	V	pass
4	17:11:35	DC	-040,4	V	pass
5	17:11:36	DC	-040,4	V	pass
6	17:11:36	DC	-040,4	V	pass
7	17:11:37	DC	-040,4	V	pass
8	17:11:38	DC	-040,4	V	pass
9	17:11:38	DC	-040,3	V	pass
10	17:11:39	DC	-040,3	V	pass
11	17:11:39	DC	-040,4	V	pass
12	17:11:40	DC	-040,4	V	pass
13	17:11:40	DC	-040,4	V	pass
14	17:11:41	DC	-040,5	V	pass
15	17:11:42	DC	-040,6	V	pass
16	17:11:42	DC	-040,6	V	pass
17	17:11:43	DC	-040,7	V	pass
18	17:11:43	DC	-040,7	V	pass
19	17:11:44	DC	-040,8	V	pass
20	17:11:45	DC	-040,8	V	pass
21	17:11:45	DC	-040,9	V	pass
22	17:11:46	DC	-041,0	V	pass
23	17:11:46	DC	-041,0	V	pass
24	17:11:47	DC	-041,0	V	pass
25	17:11:48	DC	-041,0	V	pass
26	17:11:48	DC	-041,1	V	pass
27	17:11:49	DC	-041,2	V	pass
28	17:11:49	DC	-041,2	V	pass
29	17:11:50	DC	-041,3	V	pass
30	17:11:51	DC	-041,3	V	pass
31	17:11:51	DC	-041,4	V	pass
32	17:11:52	DC	-041,4	V	pass
33	17:11:52	DC	-041,5	V	pass
34	17:11:53	DC	-041,5	V	pass
35	17:11:53	DC	-041,6	V	pass
36	17:11:54	DC	-041,6	V	pass
37	17:11:55	DC	-041,7	V	pass
38	17:11:55	DC	-041,7	V	pass
39	17:11:56	DC	-041,8	V	pass
40	17:11:56	DC	-041,8	V	pass
41	17:11:57	DC	-041,8	V	pass
42	17:11:58	DC	-041,9	V	pass
43	17:11:58	DC	-041,9	V	pass
44	17:11:59	DC	-042,0	V	pass
45	17:11:59	DC	-042,1	V	pass
46	17:12:00	DC	-042,1	V	pass
47	17:12:01	DC	-042,2	V	pass
48	17:12:01	DC	-042,2	V	pass
49	17:12:02	DC	-042,3	V	pass
50	17:12:02	DC	-042,3	V	pass
51	17:12:03	DC	-042,4	V	pass
52	17:12:04	DC	-042,4	V	pass
53	17:12:04	DC	-042,5	V	pass
54	17:12:05	DC	-042,5	V	pass
55	17:12:05	DC	-042,6	V	pass
56	17:12:06	DC	-042,7	V	pass
57	17:12:07	DC	-042,7	V	pass
58	17:12:07	DC	-042,8	V	pass
59	17:12:08	DC	-042,8	V	pass
60	17:12:08	DC	-042,9	V	pass
61	17:12:09	DC	-042,9	V	pass
62	17:12:10	DC	-043,0	V	pass
63	17:12:10	DC	-043,0	V	pass
64	17:12:11	DC	-043,1	V	pass
65	17:12:11	DC	-043,1	V	pass
66	17:12:12	DC	-043,2	V	pass
67	17:12:13	DC	-043,3	V	pass
68	17:12:13	DC	-043,3	V	pass
69	17:12:14	DC	-043,4	V	pass
70	17:12:14	DC	-043,4	V	pass
71	17:12:15	DC	-043,4	V	pass
72	17:12:16	DC	-043,5	V	pass
73	17:12:16	DC	-043,5	V	pass
74	17:12:17	DC	-043,6	V	pass
75	17:12:17	DC	-043,7	V	pass
76	17:12:18	DC	-043,7	V	pass
77	17:12:19	DC	-043,8	V	pass
78	17:12:19	DC	-043,8	V	pass
79	17:12:20	DC	-043,9	V	pass
80	17:12:20	DC	-043,9	V	pass
81	17:12:21	DC	-044,0	V	pass
82	17:12:21	DC	-044,0	V	pass
83	17:12:22	DC	-044,1	V	pass
84	17:12:23	DC	-044,2	V	pass
85	17:12:23	DC	-044,2	V	pass
86	17:12:24	DC	-044,3	V	pass
87	17:12:25	DC	-044,3	V	pass
88	17:12:25	DC	-044,4	V	pass
89	17:12:26	DC	-044,4	V	pass
90	17:12:26	DC	-044,5	V	pass
91	17:12:27	DC	-044,5	V	pass
92	17:12:27	DC	-044,6	V	pass
93	17:12:28	DC	-044,6	V	pass
94	17:12:29	DC	-044,7	V	pass
95	17:12:29	DC	-044,7	V	pass
96	17:12:30	DC	-044,8	V	pass
97	17:12:30	DC	-044,8	V	pass
98	17:12:31	DC	-044,9	V	pass
99	17:12:32	DC	-044,9	V	pass
100	17:12:32	DC	-045,0	V	pass
101	17:12:33	DC	-045,0	V	pass
102	17:12:33	DC	-045,1	V	pass
103	17:12:34	DC	-045,2	V	pass
104	17:12:35	DC	-045,3	V	pass
105	17:12:35	DC	-045,3	V	pass
106	17:12:36	DC	-045,3	V	pass
107	17:12:36	DC	-045,4	V	pass
108	17:12:37	DC	-045,4	V	pass
109	17:12:38	DC	-045,5	V	pass
110	17:12:38	DC	-045,5	V	pass
111	17:12:39	DC	-045,6	V	pass
112	17:12:39	DC	-045,7	V	pass
113	17:12:40	DC	-045,7	V	pass
114	17:12:41	DC	-045,8	V	pass
115	17:12:41	DC	-045,8	V	pass
116	17:12:42	DC	-045,9	V	pass
117	17:12:42	DC	-045,9	V	pass
118	17:12:43	DC	-045,9	V	pass
119	17:12:44	DC	-046,0	V	pass
120	17:12:44	DC	-046,1	V	pass
121	17:12:45	DC	-046,1	V	pass
122	17:12:45	DC	-046,2	V	pass
123	17:12:46	DC	-046,2	V	pass
124	17:12:47	DC	-046,3	V	pass
125	17:12:47	DC	-046,3	V	pass
126	17:12:48	DC	-046,4	V	pass
127	17:12:48	DC	-046,4	V	pass
128	17:12:49	DC	-046,5	V	pass
129	17:12:50	DC	-046,6	V	pass
130	17:12:50	DC	-046,6	V	pass
131	17:12:51	DC	-046,7	V	pass
132	17:12:51	DC	-046,8	V	pass
133	17:12:52	DC	-046,8	V	pass
134	17:12:53	DC	-046,9	V	pass
135	17:12:53	DC	-046,9	V	pass
136	17:12:54	DC	-046,9	V	pass
137	17:12:54	DC	-047,0	V	pass
138	17:12:55	DC	-047,0	V	pass
139	17:12:56	DC	-047,1	V	pass
140	17:12:56	DC	-047,2	V	pass
141	17:12:57	DC	-047,2	V	pass
142	17:12:57	DC	-047,3	V	pass
143	17:12:58	DC	-047,3	V	pass
144	17:12:59	DC	-047,4	V	pass
145	17:12:59	DC	-047,4	V	pass
146	17:13:00	DC	-047,5	V	pass
147	17:13:01	DC	-047,6	V	pass
