No	Time	DC/AC	Value	Unit	AUTO
1	17:45:12	DC	-091,6	uA	pass
2	17:45:13	DC	-091,1	uA	pass
3	17:45:14	DC	-090,8	uA	pass
4	17:45:14	DC	-090,5	uA	pass
5	17:45:15	DC	-090,2	uA	pass
6	17:45:15	DC	-089,9	uA	pass
7	17:45:16	DC	-089,5	uA	pass
8	17:45:17	DC	-089,2	uA	pass
9	17:45:17	DC	-088,2	uA	pass
10	17:45:18	DC	-087,7	uA	pass
11	17:45:18	DC	-086,7	uA	pass
12	17:45:19	DC	-085,7	uA	pass
13	17:45:20	DC	-084,7	uA	pass
14	17:45:20	DC	-084,2	uA	pass
15	17:45:21	DC	-083,3	uA	pass
16	17:45:21	DC	-082,4	uA	pass
17	17:45:22	DC	-081,9	uA	pass
18	17:45:22	DC	-081,1	uA	pass
19	17:45:23	DC	-080,3	uA	pass
20	17:45:23	DC	-079,9	uA	pass
21	17:45:24	DC	-079,2	uA	pass
22	17:45:25	DC	-078,5	uA	pass
23	17:45:25	DC	-078,2	uA	pass
24	17:45:26	DC	-077,4	uA	pass
25	17:45:26	DC	-076,6	uA	pass
26	17:45:27	DC	-076,2	uA	pass
27	17:45:28	DC	-075,5	uA	pass
28	17:45:28	DC	-074,7	uA	pass
29	17:45:29	DC	-074,3	uA	pass
30	17:45:29	DC	-073,6	uA	pass
31	17:45:30	DC	-072,9	uA	pass
32	17:45:30	DC	-072,5	uA	pass
33	17:45:31	DC	-071,8	uA	pass
34	17:45:32	DC	-071,0	uA	pass
35	17:45:32	DC	-070,7	uA	pass
36	17:45:33	DC	-069,9	uA	pass
37	17:45:33	DC	-069,2	uA	pass
38	17:45:34	DC	-068,9	uA	pass
39	17:45:35	DC	-068,2	uA	pass
40	17:45:35	DC	-067,5	uA	pass
41	17:45:36	DC	-067,0	uA	pass
42	17:45:36	DC	-066,3	uA	pass
43	17:45:37	DC	-065,7	uA	pass
44	17:45:37	DC	-065,4	uA	pass
45	17:45:38	DC	-064,8	uA	pass
46	17:45:39	DC	-064,2	uA	pass
47	17:45:39	DC	-063,8	uA	pass
48	17:45:40	DC	-063,2	uA	pass
49	17:45:41	DC	-062,6	uA	pass
50	17:45:41	DC	-062,2	uA	pass
51	17:45:42	DC	-061,6	uA	pass
52	17:45:42	DC	-061,0	uA	pass
53	17:45:43	DC	-060,7	uA	pass
54	17:45:43	DC	-060,1	uA	pass
55	17:45:44	DC	-059,5	uA	pass
56	17:45:45	DC	-058,9	uA	pass
57	17:45:45	DC	-058,6	uA	pass
58	17:45:46	DC	-058,0	uA	pass
59	17:45:46	DC	-057,7	uA	pass
60	17:45:47	DC	-057,2	uA	pass
61	17:45:48	DC	-056,7	uA	pass
62	17:45:48	DC	-056,1	uA	pass
63	17:45:49	DC	-055,8	uA	pass
64	17:45:49	DC	-055,3	uA	pass
65	17:45:50	DC	-054,8	uA	pass
66	17:45:50	DC	-054,5	uA	pass
67	17:45:51	DC	-054,0	uA	pass
68	17:45:52	DC	-053,5	uA	pass
69	17:45:52	DC	-053,2	uA	pass
70	17:45:53	DC	-052,7	uA	pass
71	17:45:53	DC	-052,1	uA	pass
72	17:45:54	DC	-051,8	uA	pass
73	17:45:55	DC	-051,3	uA	pass
74	17:45:55	DC	-050,9	uA	pass
75	17:45:56	DC	-050,6	uA	pass
76	17:45:56	DC	-050,1	uA	pass
77	17:45:57	DC	-049,5	uA	pass
78	17:45:57	DC	-049,3	uA	pass
79	17:45:58	DC	-048,7	uA	pass
80	17:45:59	DC	-048,3	uA	pass
81	17:45:59	DC	-048,0	uA	pass
82	17:46:00	DC	-047,5	uA	pass
83	17:46:00	DC	-047,0	uA	pass
84	17:46:01	DC	-046,8	uA	pass
85	17:46:01	DC	-046,3	uA	pass
86	17:46:02	DC	-046,0	uA	pass
87	17:46:03	DC	-045,4	uA	pass
88	17:46:03	DC	-044,9	uA	pass
89	17:46:04	DC	-044,5	uA	pass
90	17:46:04	DC	-044,2	uA	pass
91	17:46:05	DC	-043,8	uA	pass
92	17:46:06	DC	-043,3	uA	pass
93	17:46:06	DC	-043,0	uA	pass
94	17:46:07	DC	-042,6	uA	pass
95	17:46:07	DC	-042,2	uA	pass
96	17:46:08	DC	-042,0	uA	pass
97	17:46:08	DC	-041,4	uA	pass
98	17:46:09	DC	-040,9	uA	pass
99	17:46:10	DC	-040,7	uA	pass
100	17:46:10	DC	-040,3	uA	pass
101	17:46:11	DC	-039,8	uA	pass
102	17:46:11	DC	-039,6	uA	pass
103	17:46:12	DC	-039,2	uA	pass
104	17:46:12	DC	-039,0	uA	pass
105	17:46:13	DC	-038,5	uA	pass
106	17:46:14	DC	-038,1	uA	pass
107	17:46:14	DC	-037,7	uA	pass
108	17:46:15	DC	-037,5	uA	pass
109	17:46:15	DC	-037,1	uA	pass
110	17:46:16	DC	-036,9	uA	pass
111	17:46:17	DC	-036,4	uA	pass
112	17:46:17	DC	-036,0	uA	pass
113	17:46:18	DC	-035,6	uA	pass
114	17:46:18	DC	-035,4	uA	pass
115	17:46:19	DC	-035,1	uA	pass
116	17:46:19	DC	-034,7	uA	pass
117	17:46:20	DC	-034,5	uA	pass
118	17:46:21	DC	-034,0	uA	pass
119	17:46:21	DC	-033,6	uA	pass
120	17:46:22	DC	-033,4	uA	pass
121	17:46:22	DC	-033,0	uA	pass
122	17:46:23	DC	-032,6	uA	pass
123	17:46:24	DC	-032,4	uA	pass
124	17:46:24	DC	-032,0	uA	pass
125	17:46:25	DC	-031,6	uA	pass
126	17:46:25	DC	-031,5	uA	pass
127	17:46:26	DC	-031,1	uA	pass
128	17:46:26	DC	-030,7	uA	pass
129	17:46:27	DC	-030,4	uA	pass
130	17:46:28	DC	-030,0	uA	pass
131	17:46:28	DC	-029,7	uA	pass
132	17:46:29	DC	-029,3	uA	pass
133	17:46:29	DC	-029,0	uA	pass
134	17:46:30	DC	-028,6	uA	pass
135	17:46:31	DC	-028,4	uA	pass
136	17:46:31	DC	-028,1	uA	pass
137	17:46:32	DC	-027,7	uA	pass
138	17:46:32	DC	-027,4	uA	pass
139	17:46:33	DC	-027,2	uA	pass
140	17:46:33	DC	-026,8	uA	pass
141	17:46:34	DC	-026,4	uA	pass
142	17:46:35	DC	-026,3	uA	pass
143	17:46:35	DC	-025,9	uA	pass
144	17:46:36	DC	-025,5	uA	pass
145	17:46:36	DC	-025,3	uA	pass
146	17:46:37	DC	-025,0	uA	pass
147	17:46:38	DC	-024,6	uA	pass
148	17:46:38	DC	-024,4	uA	pass
149	17:46:39	DC	-024,1	uA	pass
150	17:46:39	DC	-023,7	uA	pass
151	17:46:40	DC	-023,5	uA	pass
152	17:46:40	DC	-023,2	uA	pass
153	17:46:41	DC	-022,9	uA	pass
154	17:46:42	DC	-022,7	uA	pass
155	17:46:42	DC	-022,4	uA	pass
156	17:46:43	DC	-022,0	uA	pass
157	17:46:43	DC	-021,9	uA	pass
158	17:46:44	DC	-021,6	uA	pass
159	17:46:44	DC	-021,3	uA	pass
160	17:46:45	DC	-021,1	uA	pass
161	17:46:46	DC	-020,8	uA	pass
162	17:46:46	DC	-020,5	uA	pass
163	17:46:47	DC	-020,3	uA	pass
164	17:46:47	DC	-020,0	uA	pass
165	17:46:48	DC	-019,6	uA	pass
166	17:46:49	DC	-019,5	uA	pass
167	17:46:49	DC	-019,1	uA	pass
168	17:46:50	DC	-018,8	uA	pass
169	17:46:50	DC	-018,6	uA	pass
170	17:46:51	DC	-018,3	uA	pass
