No	Time	DC/AC	Value	Unit	AUTO
1	16:45:04	DC	-035,7	V	pass
2	16:45:05	DC	-035,7	V	pass
3	16:45:05	DC	-035,7	V	pass
4	16:45:06	DC	-035,7	V	pass
5	16:45:07	DC	-035,7	V	pass
6	16:45:07	DC	-035,7	V	pass
7	16:45:08	DC	-035,7	V	pass
8	16:45:08	DC	-035,7	V	pass
9	16:45:09	DC	-035,7	V	pass
10	16:45:10	DC	-035,7	V	pass
11	16:45:10	DC	-035,7	V	pass
12	16:45:11	DC	-035,7	V	pass
13	16:45:11	DC	-035,7	V	pass
14	16:45:12	DC	-035,7	V	pass
15	16:45:13	DC	-035,7	V	pass
16	16:45:13	DC	-035,7	V	pass
17	16:45:14	DC	-035,7	V	pass
18	16:45:14	DC	-035,7	V	pass
19	16:45:15	DC	-035,7	V	pass
20	16:45:16	DC	-035,7	V	pass
21	16:45:16	DC	-035,7	V	pass
22	16:45:17	DC	-035,7	V	pass
23	16:45:17	DC	-035,8	V	pass
24	16:45:18	DC	-035,9	V	pass
25	16:45:19	DC	-035,9	V	pass
26	16:45:19	DC	-035,9	V	pass
27	16:45:20	DC	-036,0	V	pass
28	16:45:20	DC	-036,0	V	pass
29	16:45:21	DC	-036,1	V	pass
30	16:45:22	DC	-036,1	V	pass
31	16:45:22	DC	-036,2	V	pass
32	16:45:23	DC	-036,2	V	pass
33	16:45:23	DC	-036,3	V	pass
34	16:45:24	DC	-036,3	V	pass
35	16:45:25	DC	-036,4	V	pass
36	16:45:25	DC	-036,4	V	pass
37	16:45:26	DC	-036,5	V	pass
38	16:45:26	DC	-036,5	V	pass
39	16:45:27	DC	-036,6	V	pass
40	16:45:28	DC	-036,6	V	pass
41	16:45:28	DC	-036,6	V	pass
42	16:45:29	DC	-036,7	V	pass
43	16:45:29	DC	-036,7	V	pass
44	16:45:30	DC	-036,8	V	pass
45	16:45:31	DC	-036,9	V	pass
46	16:45:31	DC	-036,9	V	pass
47	16:45:32	DC	-037,0	V	pass
48	16:45:32	DC	-037,0	V	pass
49	16:45:33	DC	-037,1	V	pass
50	16:45:34	DC	-037,1	V	pass
51	16:45:34	DC	-037,2	V	pass
52	16:45:35	DC	-037,3	V	pass
53	16:45:35	DC	-037,3	V	pass
54	16:45:36	DC	-037,3	V	pass
55	16:45:37	DC	-037,4	V	pass
56	16:45:37	DC	-037,5	V	pass
57	16:45:38	DC	-037,5	V	pass
58	16:45:38	DC	-037,6	V	pass
59	16:45:39	DC	-037,6	V	pass
60	16:45:40	DC	-037,7	V	pass
61	16:45:40	DC	-037,7	V	pass
62	16:45:41	DC	-037,8	V	pass
63	16:45:41	DC	-037,9	V	pass
64	16:45:42	DC	-037,9	V	pass
65	16:45:43	DC	-038,0	V	pass
66	16:45:43	DC	-038,0	V	pass
67	16:45:44	DC	-038,1	V	pass
68	16:45:44	DC	-038,1	V	pass
69	16:45:45	DC	-038,2	V	pass
70	16:45:46	DC	-038,2	V	pass
71	16:45:46	DC	-038,2	V	pass
72	16:45:47	DC	-038,3	V	pass
73	16:45:47	DC	-038,3	V	pass
74	16:45:48	DC	-038,4	V	pass
75	16:45:49	DC	-038,4	V	pass
76	16:45:49	DC	-038,5	V	pass
77	16:45:50	DC	-038,5	V	pass
78	16:45:50	DC	-038,6	V	pass
79	16:45:51	DC	-038,7	V	pass
80	16:45:52	DC	-038,7	V	pass
81	16:45:52	DC	-038,8	V	pass
82	16:45:53	DC	-038,8	V	pass
83	16:45:53	DC	-038,9	V	pass
84	16:45:54	DC	-038,9	V	pass
85	16:45:55	DC	-039,0	V	pass
86	16:45:55	DC	-039,0	V	pass
87	16:45:56	DC	-039,1	V	pass
88	16:45:56	DC	-039,1	V	pass
89	16:45:57	DC	-039,2	V	pass
90	16:45:58	DC	-039,2	V	pass
91	16:45:58	DC	-039,3	V	pass
92	16:45:59	DC	-039,3	V	pass
93	16:45:59	DC	-039,4	V	pass
94	16:46:00	DC	-039,4	V	pass
95	16:46:01	DC	-039,5	V	pass
96	16:46:01	DC	-039,6	V	pass
97	16:46:02	DC	-039,6	V	pass
98	16:46:02	DC	-039,7	V	pass
99	16:46:03	DC	-039,7	V	pass
100	16:46:04	DC	-039,8	V	pass
101	16:46:04	DC	-039,8	V	pass
102	16:46:05	DC	-039,9	V	pass
103	16:46:05	DC	-039,9	V	pass
104	16:46:06	DC	-040,0	V	pass
105	16:46:06	DC	-040,0	V	pass
106	16:46:07	DC	-040,1	V	pass
107	16:46:08	DC	-040,2	V	pass
108	16:46:08	DC	-040,2	V	pass
109	16:46:09	DC	-040,2	V	pass
110	16:46:09	DC	-040,3	V	pass
111	16:46:10	DC	-040,4	V	pass
112	16:46:11	DC	-040,4	V	pass
113	16:46:11	DC	-040,5	V	pass
114	16:46:12	DC	-040,6	V	pass
115	16:46:12	DC	-040,6	V	pass
116	16:46:13	DC	-040,6	V	pass
117	16:46:14	DC	-040,7	V	pass
118	16:46:14	DC	-040,7	V	pass
119	16:46:15	DC	-040,8	V	pass
120	16:46:15	DC	-040,9	V	pass
121	16:46:16	DC	-040,9	V	pass
122	16:46:16	DC	-041,0	V	pass
123	16:46:17	DC	-041,0	V	pass
124	16:46:18	DC	-041,0	V	pass
125	16:46:18	DC	-041,1	V	pass
126	16:46:19	DC	-041,2	V	pass
127	16:46:19	DC	-041,2	V	pass
128	16:46:20	DC	-041,3	V	pass
129	16:46:20	DC	-041,3	V	pass
130	16:46:21	DC	-041,3	V	pass
131	16:46:22	DC	-041,4	V	pass
132	16:46:22	DC	-041,5	V	pass
133	16:46:23	DC	-041,5	V	pass
134	16:46:24	DC	-041,6	V	pass
135	16:46:24	DC	-041,6	V	pass
136	16:46:25	DC	-041,7	V	pass
137	16:46:25	DC	-041,7	V	pass
138	16:46:26	DC	-041,8	V	pass
139	16:46:27	DC	-041,8	V	pass
140	16:46:27	DC	-041,9	V	pass
